	index	stat_comp	pval_comp	fdr_comp	df.test_comp	df.dna_comp	df.rna.full_comp	df.rna.red_comp	logFC_comp	dupe_info	is_ctrl	tile_type	native_status	abs_ef	snp
235	4142__WILDTYPE_SNP_INDIV	8.38066381837587	0.0037923388806364398	0.0464271282861589	1.0	21.0	5.0	4.0	-1.3867996834906202	4142	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3867996834906202	rs1716655
237	3149__WILDTYPE_SNP_INDIV	10.693799440842	0.00107495209322673	0.0208011899007867	1.0	23.0	5.0	4.0	-1.3854650387303102	3149	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3854650387303102	rs10006432
239	3320__WILDTYPE_SNP_INDIV	17.8786163054901	2.35451888560523e-05	0.00131387629442087	1.0	26.0	5.0	4.0	1.3715621937515199	3320	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3715621937515199	rs11299247
241	2916__WILDTYPE_SNP_INDIV	8.39850875245224	0.0037552894897755103	0.0463281086412151	1.0	24.0	5.0	4.0	-1.36781468957535	2916	sequence	WILDTYPE_SNP_INDIV	significant effect	1.36781468957535	rs75579212
243	2995__WILDTYPE_SNP_INDIV	8.457944317579969	0.0036345240486359296	0.0454220857015724	1.0	20.0	5.0	4.0	1.36729126140918	2995	sequence	WILDTYPE_SNP_INDIV	significant effect	1.36729126140918	rs1230004
245	1917__WILDTYPE_SNP_INDIV	112.03783358009399	3.5055636613371396e-26	2.10290000134461e-23	1.0	26.0	5.0	4.0	-1.36649197727733	1917	sequence	WILDTYPE_SNP_INDIV	significant effect	1.36649197727733	rs148872264
247	4560__WILDTYPE_SNP_INDIV	9.25432710965902	0.00234939642969231	0.0336553134832315	1.0	22.0	5.0	4.0	-1.35551261329613	4560	sequence	WILDTYPE_SNP_INDIV	significant effect	1.35551261329613	rs74233809
249	531__WILDTYPE_SNP_INDIV	9.704397926035089	0.00183827540803235	0.0288060382082273	1.0	24.0	5.0	4.0	-1.35434668923794	531	sequence	WILDTYPE_SNP_INDIV	significant effect	1.35434668923794	rs73437338
251	3143__WILDTYPE_SNP_INDIV	9.76046525687184	0.00178304780516009	0.028333928532991	1.0	25.0	5.0	4.0	1.3483128814683798	3143	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3483128814683798	rs17542750
253	748__WILDTYPE_SNP_INDIV	8.23923435288771	0.00409944216484271	0.0489383655449755	1.0	23.0	5.0	4.0	-1.34439873275419	748	sequence	WILDTYPE_SNP_INDIV	significant effect	1.34439873275419	rs13035163
255	2398__WILDTYPE_SNP_INDIV	16.5987785023021	4.61807548361928e-05	0.00226144329039683	1.0	26.0	5.0	4.0	1.3407392844114	2398	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3407392844114	rs6664664
257	84__WILDTYPE_SNP_INDIV	10.3315509012452	0.00130775273059703	0.0238627580005139	1.0	25.0	5.0	4.0	1.3348421557818	84	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3348421557818	rs71565993
259	976__WILDTYPE_SNP_INDIV	18.0087650809041	2.19890182098726e-05	0.0012868938827948599	1.0	26.0	5.0	4.0	1.3201965915591	976	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3201965915591	rs71585962
261	730__WILDTYPE_SNP_INDIV	8.75995690764034	0.00307916324450301	0.0404595535383209	1.0	24.0	5.0	4.0	-1.3126908434641298	730	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3126908434641298	rs6712094
263	1820__WILDTYPE_SNP_INDIV	10.394657690473899	0.00126380426602755	0.0234281860305106	1.0	26.0	5.0	4.0	1.30589656998386	1820	sequence	WILDTYPE_SNP_INDIV	significant effect	1.30589656998386	rs9881154
265	2911__WILDTYPE_SNP_INDIV	111.089695760301	5.655319434647799e-26	3.0155419963194196e-23	1.0	26.0	5.0	4.0	1.3008159369008798	2911	sequence	WILDTYPE_SNP_INDIV	significant effect	1.3008159369008798	rs113513615
267	1216__WILDTYPE_SNP_INDIV	9.493445770887769	0.00206207186277805	0.0308941430383251	1.0	25.0	5.0	4.0	-1.2912382123819899	1216	sequence	WILDTYPE_SNP_INDIV	significant effect	1.2912382123819899	rs3079391
269	3738__WILDTYPE_SNP_INDIV	9.535755814609962	0.0020150717378271898	0.030409840471172	1.0	26.0	5.0	4.0	1.28579143039299	3738	sequence	WILDTYPE_SNP_INDIV	significant effect	1.28579143039299	rs9854833
271	2310__WILDTYPE_SNP_INDIV	9.328453126183382	0.00225622736773135	0.0331120340603754	1.0	24.0	5.0	4.0	1.28462690719837	2310	sequence	WILDTYPE_SNP_INDIV	significant effect	1.28462690719837	rs965771
273	2730__WILDTYPE_SNP_INDIV	8.294882611877481	0.00397569501201135	0.0481802029359658	1.0	25.0	5.0	4.0	-1.28364621205584	2730	sequence	WILDTYPE_SNP_INDIV	significant effect	1.28364621205584	rs4888415
275	4207__WILDTYPE_SNP_INDIV	9.364756996572279	0.00221197321917269	0.0328398119649188	1.0	24.0	5.0	4.0	1.28324928757836	4207	sequence	WILDTYPE_SNP_INDIV	significant effect	1.28324928757836	rs4615050
277	2031__WILDTYPE_SNP_INDIV	22.0455136146634	2.66261288110694e-06	0.000228176414579146	1.0	26.0	5.0	4.0	-1.2732918124738402	2031	sequence	WILDTYPE_SNP_INDIV	significant effect	1.2732918124738402	rs112299234
279	1454__WILDTYPE_SNP_INDIV	8.79692748921775	0.0030173828110620603	0.0398909644911482	1.0	24.0	5.0	4.0	1.26511843944007	1454	sequence	WILDTYPE_SNP_INDIV	significant effect	1.26511843944007	rs9352675
281	3064__WILDTYPE_SNP_INDIV	67.230015267507	2.4160757314608905e-16	7.72983162352054e-14	1.0	26.0	5.0	4.0	1.26432567187152	3064	sequence	WILDTYPE_SNP_INDIV	significant effect	1.26432567187152	rs77423178
283	2638__WILDTYPE_SNP_INDIV	9.848294896566019	0.0016998924697937301	0.0277475644984358	1.0	23.0	5.0	4.0	-1.26131100400873	2638	sequence	WILDTYPE_SNP_INDIV	significant effect	1.26131100400873	rs10514396
285	3620__WILDTYPE_SNP_INDIV	14.2080666650909	0.00016366738894309	0.0059503015116506896	1.0	26.0	5.0	4.0	1.25156936235486	3620	sequence	WILDTYPE_SNP_INDIV	significant effect	1.25156936235486	rs9479216
287	486__WILDTYPE_SNP_INDIV	14.6193289708399	0.000131558254803064	0.00517498413770412	1.0	26.0	5.0	4.0	1.25137815960632	486	sequence	WILDTYPE_SNP_INDIV	significant effect	1.25137815960632	rs11874
289	192__WILDTYPE_SNP_INDIV	16.4998046364865	4.86550872643771e-05	0.00231025356268806	1.0	26.0	5.0	4.0	1.2501483448280901	192	sequence	WILDTYPE_SNP_INDIV	significant effect	1.2501483448280901	rs1461693
291	1637__WILDTYPE_SNP_INDIV	9.34118074821959	0.0022406111589991103	0.0330331259808786	1.0	26.0	5.0	4.0	1.24104682299427	1637	sequence	WILDTYPE_SNP_INDIV	significant effect	1.24104682299427	rs6771787
293	1550__WILDTYPE_SNP_INDIV	9.24890496238544	0.00235636285275387	0.0336553134832315	1.0	19.0	5.0	4.0	1.2405084657908898	1550	sequence	WILDTYPE_SNP_INDIV	significant effect	1.2405084657908898	rs13139571
295	483__WILDTYPE_SNP_INDIV	9.58412582807955	0.00196266862985825	0.0298935782009717	1.0	25.0	5.0	4.0	-1.23853986160203	483	sequence	WILDTYPE_SNP_INDIV	significant effect	1.23853986160203	rs34628434
297	2795__WILDTYPE_SNP_INDIV	9.14672058744179	0.0024916422910039398	0.0346591053754432	1.0	24.0	5.0	4.0	1.23011288614446	2795	sequence	WILDTYPE_SNP_INDIV	significant effect	1.23011288614446	rs35214308
299	3542__WILDTYPE_SNP_INDIV	10.091325551366301	0.00148968907934684	0.0251725982105123	1.0	26.0	5.0	4.0	1.22402964652909	3542	sequence	WILDTYPE_SNP_INDIV	significant effect	1.22402964652909	rs9479188
301	408__WILDTYPE_SNP_INDIV	11.094832295743101	0.000865686120812109	0.0178180903523561	1.0	24.0	5.0	4.0	1.21901471939945	408	sequence	WILDTYPE_SNP_INDIV	significant effect	1.21901471939945	rs7972957
303	4494__WILDTYPE_SNP_INDIV	15.6968418628892	7.43482052712463e-05	0.00324360942815192	1.0	26.0	5.0	4.0	1.2128741638187701	4494	sequence	WILDTYPE_SNP_INDIV	significant effect	1.2128741638187701	rs77860422
305	846__WILDTYPE_SNP_INDIV	10.155589440994401	0.00143864390417173	0.0249243757982676	1.0	26.0	5.0	4.0	-1.2047430211752599	846	sequence	WILDTYPE_SNP_INDIV	significant effect	1.2047430211752599	rs60991988
307	1093__WILDTYPE_SNP_INDIV	12.456256775067	0.000416593974609593	0.0112951100799516	1.0	25.0	5.0	4.0	-1.19708674273322	1093	sequence	WILDTYPE_SNP_INDIV	significant effect	1.19708674273322	rs4838960
309	170__WILDTYPE_SNP_INDIV	14.1112129675967	0.00017231353392914	0.0060360047396054205	1.0	26.0	5.0	4.0	1.18982473457665	170	sequence	WILDTYPE_SNP_INDIV	significant effect	1.18982473457665	rs11783703
311	2590__WILDTYPE_SNP_INDIV	10.1463801633486	0.00144584873306466	0.0249590937768968	1.0	25.0	5.0	4.0	1.18705831243744	2590	sequence	WILDTYPE_SNP_INDIV	significant effect	1.18705831243744	rs1364077
313	3509__WILDTYPE_SNP_INDIV	9.97304067173968	0.00158848943034934	0.0263777189489498	1.0	25.0	5.0	4.0	-1.18406845687141	3509	sequence	WILDTYPE_SNP_INDIV	significant effect	1.18406845687141	rs6906701
315	98__WILDTYPE_SNP_INDIV	9.36047300863675	0.00221714921371821	0.0328398119649188	1.0	25.0	5.0	4.0	-1.1790290770948302	98	sequence	WILDTYPE_SNP_INDIV	significant effect	1.1790290770948302	rs11977526
317	248__WILDTYPE_SNP_INDIV	11.038408535635	0.0008924344002336461	0.0181474266386494	1.0	26.0	5.0	4.0	1.1784168447896899	248	sequence	WILDTYPE_SNP_INDIV	significant effect	1.1784168447896899	rs73306860
319	1402__WILDTYPE_SNP_INDIV	19.214838918238897	1.1680192436552001e-05	0.00077851727087518	1.0	26.0	5.0	4.0	1.17790714611766	1402	sequence	WILDTYPE_SNP_INDIV	significant effect	1.17790714611766	rs1507154
321	871__WILDTYPE_SNP_INDIV	9.30718713747069	0.0022825665389782698	0.0333155924187541	1.0	25.0	5.0	4.0	1.17707231680086	871	sequence	WILDTYPE_SNP_INDIV	significant effect	1.17707231680086	rs1794520
323	2477__WILDTYPE_SNP_INDIV	13.4032998027817	0.000251182028003646	0.007930411528878259	1.0	25.0	5.0	4.0	1.17400949008543	2477	sequence	WILDTYPE_SNP_INDIV	significant effect	1.17400949008543	rs2759302
325	4208__WILDTYPE_SNP_INDIV	9.79720917023155	0.00174776916035091	0.0282153992753905	1.0	25.0	5.0	4.0	-1.1725810195031001	4208	sequence	WILDTYPE_SNP_INDIV	significant effect	1.1725810195031001	rs17218103
327	640__WILDTYPE_SNP_INDIV	12.5951619247185	0.000386746546823887	0.0107906783616734	1.0	26.0	5.0	4.0	1.1671989112382	640	sequence	WILDTYPE_SNP_INDIV	significant effect	1.1671989112382	rs655015
329	2560__WILDTYPE_SNP_INDIV	8.7560989296594	0.00308568380809032	0.0404595535383209	1.0	19.0	5.0	4.0	1.16011397726049	2560	sequence	WILDTYPE_SNP_INDIV	significant effect	1.16011397726049	rs11862095
331	993__WILDTYPE_SNP_INDIV	19.142717926165897	1.2129939818712e-05	0.0007974189204109429	1.0	26.0	5.0	4.0	1.1367659482321102	993	sequence	WILDTYPE_SNP_INDIV	significant effect	1.1367659482321102	rs12934455
333	1688__WILDTYPE_SNP_INDIV	57.25883111750589	3.82069681466826e-14	1.0785602360937e-11	1.0	26.0	5.0	4.0	1.13586722046349	1688	sequence	WILDTYPE_SNP_INDIV	significant effect	1.13586722046349	rs1806920
335	1179__WILDTYPE_SNP_INDIV	10.0058536989402	0.00156043440054855	0.0260018218341406	1.0	22.0	5.0	4.0	1.13333757504246	1179	sequence	WILDTYPE_SNP_INDIV	significant effect	1.13333757504246	rs6776963
337	1952__WILDTYPE_SNP_INDIV	9.2540788617423	0.00234971492388838	0.0336553134832315	1.0	25.0	5.0	4.0	1.1212749616792401	1952	sequence	WILDTYPE_SNP_INDIV	significant effect	1.1212749616792401	rs141371657
339	3794__WILDTYPE_SNP_INDIV	10.2941560790896	0.0013345217315757	0.0240765781572624	1.0	26.0	5.0	4.0	-1.11527498182297	3794	sequence	WILDTYPE_SNP_INDIV	significant effect	1.11527498182297	rs9817510
341	2127__WILDTYPE_SNP_INDIV	11.4378471580703	0.000719631205997717	0.0159884729517734	1.0	26.0	5.0	4.0	1.11515557059017	2127	sequence	WILDTYPE_SNP_INDIV	significant effect	1.11515557059017	rs62378909
343	495__WILDTYPE_SNP_INDIV	9.186896763279039	0.00243753802343481	0.0341353039476006	1.0	25.0	5.0	4.0	-1.10980315980403	495	sequence	WILDTYPE_SNP_INDIV	significant effect	1.10980315980403	rs10509158
345	2482__WILDTYPE_SNP_INDIV	10.478736219093198	0.0012075633128293	0.0227358979570195	1.0	26.0	5.0	4.0	1.1083502497819901	2482	sequence	WILDTYPE_SNP_INDIV	significant effect	1.1083502497819901	rs7173751
347	2278__WILDTYPE_SNP_INDIV	8.400999641680981	0.0037501473038051296	0.0463281086412151	1.0	25.0	5.0	4.0	1.10681529055407	2278	sequence	WILDTYPE_SNP_INDIV	significant effect	1.10681529055407	rs7152323
349	1695__WILDTYPE_SNP_INDIV	9.729973997129491	0.00181287052613883	0.0287127579370965	1.0	23.0	5.0	4.0	1.10447028642258	1695	sequence	WILDTYPE_SNP_INDIV	significant effect	1.10447028642258	rs10670288
351	4278__WILDTYPE_SNP_INDIV	11.7717645096359	0.000601359466938598	0.0141466866756781	1.0	26.0	5.0	4.0	-1.10441337588646	4278	sequence	WILDTYPE_SNP_INDIV	significant effect	1.10441337588646	rs140324600
353	4440__WILDTYPE_SNP_INDIV	13.9824179061291	0.000184528154698227	0.0064170334376579	1.0	26.0	5.0	4.0	1.09773886913212	4440	sequence	WILDTYPE_SNP_INDIV	significant effect	1.09773886913212	rs3824754
355	1130__WILDTYPE_SNP_INDIV	10.2112329903277	0.00139587818658455	0.0247188908391855	1.0	25.0	5.0	4.0	1.0975966793618501	1130	sequence	WILDTYPE_SNP_INDIV	significant effect	1.0975966793618501	rs6785669
357	4421__WILDTYPE_SNP_INDIV	10.471540663543001	0.0012122757696587	0.0227358979570195	1.0	25.0	5.0	4.0	1.0881390724673	4421	sequence	WILDTYPE_SNP_INDIV	significant effect	1.0881390724673	rs12635286
359	1857__WILDTYPE_SNP_INDIV	10.166141690966	0.0014304330851845901	0.0249243757982676	1.0	26.0	5.0	4.0	1.08510628155631	1857	sequence	WILDTYPE_SNP_INDIV	significant effect	1.08510628155631	rs4776301
361	1327__WILDTYPE_SNP_INDIV	66.2150020941535	4.04323454352623e-16	1.2127176608989e-13	1.0	26.0	5.0	4.0	1.0845849835819499	1327	sequence	WILDTYPE_SNP_INDIV	significant effect	1.0845849835819499	rs9828959
363	3496__WILDTYPE_SNP_INDIV	10.3937739321	0.0012644092898316801	0.0234281860305106	1.0	26.0	5.0	4.0	1.08243488336392	3496	sequence	WILDTYPE_SNP_INDIV	significant effect	1.08243488336392	rs6557193
365	4586__WILDTYPE_SNP_INDIV	11.605718813717	0.000657493288142205	0.0150971784200691	1.0	26.0	5.0	4.0	1.0776847457762	4586	sequence	WILDTYPE_SNP_INDIV	significant effect	1.0776847457762	rs180672883
367	3554__WILDTYPE_SNP_INDIV	10.136546423204699	0.0014535824495206801	0.0249626282395637	1.0	25.0	5.0	4.0	-1.06489797297015	3554	sequence	WILDTYPE_SNP_INDIV	significant effect	1.06489797297015	rs12055837
369	2463__WILDTYPE_SNP_INDIV	12.7488283320404	0.000356232247718631	0.0101759437904864	1.0	26.0	5.0	4.0	1.05609337778337	2463	sequence	WILDTYPE_SNP_INDIV	significant effect	1.05609337778337	rs4731798
371	2004__WILDTYPE_SNP_INDIV	17.112474175265803	3.52301524649137e-05	0.00185790661185847	1.0	22.0	5.0	4.0	1.05580399937836	2004	sequence	WILDTYPE_SNP_INDIV	significant effect	1.05580399937836	rs61712548
373	2976__WILDTYPE_SNP_INDIV	12.6008251236581	0.000385576503806925	0.0107906783616734	1.0	26.0	5.0	4.0	1.0501866440901	2976	sequence	WILDTYPE_SNP_INDIV	significant effect	1.0501866440901	rs112557609
375	4470__WILDTYPE_SNP_INDIV	9.338437830163231	0.0022439672993887104	0.0330331259808786	1.0	25.0	5.0	4.0	1.04942871484113	4470	sequence	WILDTYPE_SNP_INDIV	significant effect	1.04942871484113	rs2297787
377	1123__WILDTYPE_SNP_INDIV	12.193165351639399	0.000479649253655857	0.0123754664962068	1.0	26.0	5.0	4.0	1.04210302685984	1123	sequence	WILDTYPE_SNP_INDIV	significant effect	1.04210302685984	rs12126494
379	2821__WILDTYPE_SNP_INDIV	9.835466997920552	0.0017117881740189099	0.027847021854633	1.0	26.0	5.0	4.0	-1.02639229750858	2821	sequence	WILDTYPE_SNP_INDIV	significant effect	1.02639229750858	rs201655932
381	4287__WILDTYPE_SNP_INDIV	9.225580645947051	0.0023865699575692898	0.0338850568827664	1.0	26.0	5.0	4.0	1.02410664034227	4287	sequence	WILDTYPE_SNP_INDIV	significant effect	1.02410664034227	rs57199702
383	4103__WILDTYPE_SNP_INDIV	34.1261516276654	5.165240417959e-09	9.91519550631409e-07	1.0	26.0	5.0	4.0	0.992376700649962	4103	sequence	WILDTYPE_SNP_INDIV	significant effect	0.992376700649962	rs9832548
385	3208__WILDTYPE_SNP_INDIV	13.175048057088402	0.000283701453158506	0.00861698274498525	1.0	25.0	5.0	4.0	0.988789865877335	3208	sequence	WILDTYPE_SNP_INDIV	significant effect	0.988789865877335	rs60544812
387	2174__WILDTYPE_SNP_INDIV	10.868738389037599	0.000978011308412366	0.0193945300374832	1.0	25.0	5.0	4.0	0.988478280201117	2174	sequence	WILDTYPE_SNP_INDIV	significant effect	0.988478280201117	rs10074749
389	235__WILDTYPE_SNP_INDIV	22.430281677514802	2.17911129339553e-06	0.000193658427722318	1.0	26.0	5.0	4.0	0.985258517008251	235	sequence	WILDTYPE_SNP_INDIV	significant effect	0.985258517008251	rs78972704
391	2__WILDTYPE_SNP_INDIV	8.444453157963151	0.0036615852300817897	0.0456414221276948	1.0	26.0	5.0	4.0	-0.9831701612728001	2	sequence	WILDTYPE_SNP_INDIV	significant effect	0.9831701612728001	rs17477177
393	3048__WILDTYPE_SNP_INDIV	8.36228981927184	0.00383087531964514	0.0467795691068118	1.0	26.0	5.0	4.0	0.97984381862383	3048	sequence	WILDTYPE_SNP_INDIV	significant effect	0.97984381862383	rs77024938
395	1399__WILDTYPE_SNP_INDIV	8.95476574805184	0.00276746671290886	0.0375943069236557	1.0	26.0	5.0	4.0	0.973342477680545	1399	sequence	WILDTYPE_SNP_INDIV	significant effect	0.973342477680545	rs9343827
397	2759__WILDTYPE_SNP_INDIV	9.66981053641166	0.00187320629482951	0.0290425675080833	1.0	26.0	5.0	4.0	0.96494062028413	2759	sequence	WILDTYPE_SNP_INDIV	significant effect	0.96494062028413	rs11149832
399	2942__WILDTYPE_SNP_INDIV	20.2054163536795	6.95557160231505e-06	0.00049853672665974	1.0	26.0	5.0	4.0	0.9628691232591491	2942	sequence	WILDTYPE_SNP_INDIV	significant effect	0.9628691232591491	rs58568707
401	3690__WILDTYPE_SNP_INDIV	12.012279275661099	0.000528511835522858	0.0132792057522209	1.0	26.0	5.0	4.0	0.962443117716262	3690	sequence	WILDTYPE_SNP_INDIV	significant effect	0.962443117716262	rs2026954
403	1014__WILDTYPE_SNP_INDIV	11.939866030443198	0.000549454305956646	0.0133173293650805	1.0	26.0	5.0	4.0	0.961460636696475	1014	sequence	WILDTYPE_SNP_INDIV	significant effect	0.961460636696475	rs7203642
405	3648__WILDTYPE_SNP_INDIV	14.814369178182499	0.000118628167063423	0.00478400482132243	1.0	26.0	5.0	4.0	0.959803627707228	3648	sequence	WILDTYPE_SNP_INDIV	significant effect	0.959803627707228	rs1250248
407	96__WILDTYPE_SNP_INDIV	15.035975949978399	0.000105481118385468	0.00436382661320569	1.0	26.0	5.0	4.0	0.959365470960254	96	sequence	WILDTYPE_SNP_INDIV	significant effect	0.959365470960254	rs2204489
409	3082__WILDTYPE_SNP_INDIV	26.1771618338867	3.11484710503183e-07	3.64980314843942e-05	1.0	26.0	5.0	4.0	0.9531221300162142	3082	sequence	WILDTYPE_SNP_INDIV	significant effect	0.9531221300162142	rs2240717
411	287__WILDTYPE_SNP_INDIV	9.21029241944484	0.00240658249495172	0.0339682040978627	1.0	26.0	5.0	4.0	0.951365444319735	287	sequence	WILDTYPE_SNP_INDIV	significant effect	0.951365444319735	rs76663147
413	629__WILDTYPE_SNP_INDIV	13.045604883019701	0.000303996961279581	0.00906137526199199	1.0	26.0	5.0	4.0	0.950709670741666	629	sequence	WILDTYPE_SNP_INDIV	significant effect	0.950709670741666	rs595244
415	2366__WILDTYPE_SNP_INDIV	16.7041622320112	4.36850495082803e-05	0.00218379742281497	1.0	26.0	5.0	4.0	0.9433050651235699	2366	sequence	WILDTYPE_SNP_INDIV	significant effect	0.9433050651235699	rs489788
417	2130__WILDTYPE_SNP_INDIV	9.03994924868357	0.00264142971692934	0.0362177748901255	1.0	26.0	5.0	4.0	0.939266020175005	2130	sequence	WILDTYPE_SNP_INDIV	significant effect	0.939266020175005	rs7719483
419	602__WILDTYPE_SNP_INDIV	9.78454216378759	0.00175985042919567	0.0282458936779599	1.0	25.0	5.0	4.0	0.9387277258058059	602	sequence	WILDTYPE_SNP_INDIV	significant effect	0.9387277258058059	rs11636344
421	1422__WILDTYPE_SNP_INDIV	8.26000712131804	0.00405279689782797	0.0487797796953639	1.0	26.0	5.0	4.0	-0.9286080316333729	1422	sequence	WILDTYPE_SNP_INDIV	significant effect	0.9286080316333729	rs9352664
423	696__WILDTYPE_SNP_INDIV	29.538432524079298	5.4818841550903e-08	7.97198850311465e-06	1.0	26.0	5.0	4.0	0.926702230852399	696	sequence	WILDTYPE_SNP_INDIV	significant effect	0.926702230852399	rs2887882
425	2518__WILDTYPE_SNP_INDIV	10.299034326659699	0.00133099842872547	0.0240765781572624	1.0	26.0	5.0	4.0	0.918175120496711	2518	sequence	WILDTYPE_SNP_INDIV	significant effect	0.918175120496711	rs1559339
427	3349__WILDTYPE_SNP_INDIV	35.467035927441394	2.5940363091595102e-09	5.3922906689769e-07	1.0	26.0	5.0	4.0	0.9160795693060211	3349	sequence	WILDTYPE_SNP_INDIV	significant effect	0.9160795693060211	rs294902
429	1175__WILDTYPE_SNP_INDIV	9.89921448535233	0.0016534933582858	0.0272250933844949	1.0	26.0	5.0	4.0	0.8958867211779019	1175	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8958867211779019	rs1486915
431	160__WILDTYPE_SNP_INDIV	9.87095497125893	0.00167908334952492	0.0275014368408536	1.0	26.0	5.0	4.0	0.893279682234058	160	sequence	WILDTYPE_SNP_INDIV	significant effect	0.893279682234058	rs1461690
433	1698__WILDTYPE_SNP_INDIV	8.670616101337151	0.00323381843530359	0.0416061519330347	1.0	26.0	5.0	4.0	0.890875850997152	1698	sequence	WILDTYPE_SNP_INDIV	significant effect	0.890875850997152	rs4712653
435	453__WILDTYPE_SNP_INDIV	8.25417921665803	0.00406582868892385	0.0487797796953639	1.0	26.0	5.0	4.0	0.888982448393539	453	sequence	WILDTYPE_SNP_INDIV	significant effect	0.888982448393539	rs6487057
437	1215__WILDTYPE_SNP_INDIV	24.154868158579102	8.8891179348568e-07	9.07635680199527e-05	1.0	26.0	5.0	4.0	0.8877939901766341	1215	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8877939901766341	rs319681
439	4122__WILDTYPE_SNP_INDIV	15.957545063525698	6.477906247345021e-05	0.00290746193239407	1.0	26.0	5.0	4.0	0.8869524389662009	4122	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8869524389662009	rs73081361
441	745__WILDTYPE_SNP_INDIV	10.3639646197475	0.00128498946569573	0.0235785288098849	1.0	26.0	5.0	4.0	0.88612064032131	745	sequence	WILDTYPE_SNP_INDIV	significant effect	0.88612064032131	rs1439214
443	1999__WILDTYPE_SNP_INDIV	14.3596142348656	0.000151006623259417	0.00563574366910433	1.0	26.0	5.0	4.0	-0.8816762526081271	1999	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8816762526081271	rs75150777
445	3884__WILDTYPE_SNP_INDIV	8.49699510632217	0.00355733487196151	0.0445734988264837	1.0	26.0	5.0	4.0	0.877172974083125	3884	sequence	WILDTYPE_SNP_INDIV	significant effect	0.877172974083125	rs113522835
447	2002__WILDTYPE_SNP_INDIV	35.3914308738149	2.6967071484777203e-09	5.3922906689769e-07	1.0	26.0	5.0	4.0	0.8696189968036179	2002	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8696189968036179	rs6737356
449	2497__WILDTYPE_SNP_INDIV	36.68230518214929	1.3903574206392402e-09	3.15690582308152e-07	1.0	26.0	5.0	4.0	0.860465477292625	2497	sequence	WILDTYPE_SNP_INDIV	significant effect	0.860465477292625	rs2627324
451	1836__WILDTYPE_SNP_INDIV	9.67480623801794	0.0018681197069937302	0.0290425675080833	1.0	26.0	5.0	4.0	0.852539764785626	1836	sequence	WILDTYPE_SNP_INDIV	significant effect	0.852539764785626	rs9296668
453	1895__WILDTYPE_SNP_INDIV	42.1770676155375	8.337196206881e-11	2.105800241938e-08	1.0	26.0	5.0	4.0	0.843909237315068	1895	sequence	WILDTYPE_SNP_INDIV	significant effect	0.843909237315068	rs1890683
455	1986__WILDTYPE_SNP_INDIV	10.3991381190681	0.00126074145534805	0.0234281860305106	1.0	26.0	5.0	4.0	0.8394427789051541	1986	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8394427789051541	rs17046742
457	4580__WILDTYPE_SNP_INDIV	10.2590504928171	0.00136015666943911	0.0243433358409397	1.0	26.0	5.0	4.0	0.8386688703901211	4580	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8386688703901211	rs129128
459	2276__WILDTYPE_SNP_INDIV	11.98464211497	0.000536407927356156	0.0133173293650805	1.0	26.0	5.0	4.0	0.833233463144476	2276	sequence	WILDTYPE_SNP_INDIV	significant effect	0.833233463144476	rs1121703
461	104__WILDTYPE_SNP_INDIV	21.087892630794197	4.38691180017057e-06	0.00036297913325894103	1.0	26.0	5.0	4.0	0.8298576866873241	104	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8298576866873241	rs7341594
463	3049__WILDTYPE_SNP_INDIV	9.01033809925184	0.00268456753886077	0.0366001125539569	1.0	26.0	5.0	4.0	0.8227343054826359	3049	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8227343054826359	rs79486579
465	648__WILDTYPE_SNP_INDIV	14.1622083064167	0.000167705323975532	0.00598454326694143	1.0	26.0	5.0	4.0	-0.8200316665448191	648	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8200316665448191	rs1018148
467	1660__WILDTYPE_SNP_INDIV	8.38950921225251	0.00377392795941151	0.0464271282861589	1.0	26.0	5.0	4.0	0.8178055601603059	1660	sequence	WILDTYPE_SNP_INDIV	significant effect	0.8178055601603059	rs6921489
469	1866__WILDTYPE_SNP_INDIV	16.471924567692	4.93758494794804e-05	0.00231025356268806	1.0	26.0	5.0	4.0	0.81764716755852	1866	sequence	WILDTYPE_SNP_INDIV	significant effect	0.81764716755852	rs2037912
471	4129__WILDTYPE_SNP_INDIV	45.4270893952562	1.58427927965466e-11	4.2238645905904e-09	1.0	26.0	5.0	4.0	0.815461796911869	4129	sequence	WILDTYPE_SNP_INDIV	significant effect	0.815461796911869	rs145765616
