query family beginR
chr16:75464017:75464152 AluSx SINE/Alu
chr16:75464017:75464152_1 MER4D1 LTR/ERV1
chr16:75464017:75464152_1 AluSx SINE/Alu
chr16:75464018:75464153 MER4D1 LTR/ERV1
chr16:75464018:75464153 AluSx SINE/Alu
chr16:75464018:75464153_1 MER4D1 LTR/ERV1
chr16:75464018:75464153_1 AluSx SINE/Alu
chr16:75464351:75464486 AluSx SINE/Alu
chr16:75464351:75464486_1 AluSx SINE/Alu
chr16:75464432:75464567 AluSx SINE/Alu
chr16:75464432:75464567_1 AluSx SINE/Alu
chr16:75465271:75465406 AluY SINE/Alu
chr16:75465271:75465406_1 AluY SINE/Alu
chr16:75465721:75465856 7SLRNA srpRNA
chr16:75465721:75465856_1 7SLRNA srpRNA
chr16:75466365:75466500 AluJb SINE/Alu
chr16:75466365:75466500_1 AluJb SINE/Alu
chr16:75466628:75466763 L3 LINE/CR1
chr16:75466628:75466763_1 L3 LINE/CR1
chr16:75468715:75468850 Tigger17 DNA/TcMar-Tigger
chr16:75468715:75468850 (TTTTG)n Simple_repeat
chr16:75468715:75468850_1 Tigger17 DNA/TcMar-Tigger
chr16:75468715:75468850_1 (TTTTG)n Simple_repeat
chr16:75470227:75470362 AluY SINE/Alu
chr16:75470227:75470362_1 AluY SINE/Alu
chr16:75470428:75470563 AluSx SINE/Alu
chr16:75470428:75470563_1 AluSx SINE/Alu
chr16:75470508:75470643 SVA_C Retroposon/SVA
chr16:75470508:75470643_1 SVA_C Retroposon/SVA
chr16:75472354:75472489 L1MB7 LINE/L1
chr16:75472354:75472489 L1MB7 LINE/L1
chr16:75472354:75472489_1 L1MB7 LINE/L1
chr16:75472354:75472489_1 L1M1 LINE/L1
chr16:75473087:75473222 AluSx SINE/Alu
chr16:75473087:75473222_1 AluSx SINE/Alu
chr16:75473394:75473529 AluSx SINE/Alu
chr16:75473394:75473529_1 AluSx SINE/Alu
chr16:75473625:75473760 (ATTTT)n Simple_repeat
chr16:75473625:75473760 7SLRNA srpRNA
chr16:75473625:75473760_1 (T)n Simple_repeat
chr16:75473625:75473760_1 7SLRNA srpRNA
chr16:75474022:75474157 AluJb SINE/Alu
chr16:75474022:75474157_1 AluJb SINE/Alu
chr16:75474121:75474256 AluJb SINE/Alu
chr16:75474121:75474256_1 AluJb SINE/Alu
chr16:75474550:75474685 7SLRNA srpRNA
chr16:75474550:75474685_1 7SLRNA srpRNA
chr16:75474686:75474821 AluJb SINE/Alu
chr16:75474686:75474821_1 AluJb SINE/Alu
chr16:75474759:75474894 AluJb SINE/Alu
chr16:75474759:75474894_1 AluJb SINE/Alu
chr16:75475219:75475354 AluSx SINE/Alu
chr16:75475219:75475354_1 AluSx SINE/Alu
chr16:75476020:75476155 AluSx SINE/Alu
chr16:75476020:75476155_1 AluSx SINE/Alu
chr16:75479209:75479344 AluJb SINE/Alu
chr16:75479209:75479344_1 AluJb SINE/Alu
chr16:75479366:75479501 SVA_A Retroposon/SVA
chr16:75479366:75479501 7SLRNA srpRNA
chr16:75479366:75479501_1 SVA_A Retroposon/SVA
chr16:75479366:75479501_1 7SLRNA srpRNA
chr16:75482792:75482927 AluJb SINE/Alu
chr16:75482792:75482927_1 AluJb SINE/Alu
chr16:75483064:75483199 L2d2 LINE/L2
chr16:75483064:75483199_1 L2d2 LINE/L2
chr16:75483738:75483873 L2d LINE/L2
chr16:75483738:75483873_1 L2d LINE/L2
chr16:75484494:75484629 SVA_C Retroposon/SVA
chr16:75484494:75484629_1 SVA_C Retroposon/SVA
chr16:75486134:75486269 AluJb SINE/Alu
chr16:75486134:75486269_1 AluJb SINE/Alu
chr16:75488217:75488352 AluSx SINE/Alu
chr16:75488217:75488352_1 AluSx SINE/Alu
chr16:75489254:75489389 (A)n Simple_repeat
chr16:75489254:75489389_1 L1ME4b LINE/L1
chr16:75489574:75489709 AluSx SINE/Alu
chr16:75489574:75489709_1 AluSx SINE/Alu
chr16:75491259:75491394 MLT1A LTR/ERVL-MaLR
chr16:75491259:75491394_1 MLT1A LTR/ERVL-MaLR
chr17:44967462:44967597 (CCT)n Simple_repeat
chr17:44967462:44967597 (TCCCTCC)n Simple_repeat
chr17:44967462:44967597_1 (CCT)n Simple_repeat
chr17:44967462:44967597_1 (TCCCTCC)n Simple_repeat
chr17:45091702:45091837 AluSx SINE/Alu
chr17:45091702:45091837_1 AluSx SINE/Alu
chr17:45244006:45244141 L1M5 LINE/L1
chr17:45244006:45244141_1 L1M5 LINE/L1
chr17:60763332:60763467 MER1B DNA/hAT-Charlie
chr17:60763332:60763467_1 MER1B DNA/hAT-Charlie
chr17:60764975:60765110 AluY SINE/Alu
chr17:60764975:60765110_1 AluY SINE/Alu
chr17:60768853:60768988 AluSx SINE/Alu
chr17:60768853:60768988_1 AluSx SINE/Alu
chr17:61545711:61545846 THE1D LTR/ERVL-MaLR
chr17:61545711:61545846_1 THE1D LTR/ERVL-MaLR
chr17:61547494:61547629 THE1D LTR/ERVL-MaLR
chr17:61547494:61547629_1 THE1D LTR/ERVL-MaLR
chr17:61548408:61548543 AluY SINE/Alu
chr17:61548408:61548543_1 AluY SINE/Alu
chr17:61550661:61550796 AluSx SINE/Alu
chr17:61550661:61550796_1 AluSx SINE/Alu
chr17:61554273:61554408 G-rich Low_complexity
chr17:61554273:61554408_1 G-rich Low_complexity
chr17:61559557:61559692 AluSx SINE/Alu
chr17:61559557:61559692_1 AluSx SINE/Alu
chr17:6470530:6470665 MIR SINE/MIR
chr17:6470530:6470665_1 MIR SINE/MIR
chr17:6472472:6472607 AluSx SINE/Alu
chr17:6472472:6472607_1 AluSx SINE/Alu
chr17:6473745:6473880 AluSx SINE/Alu
chr17:6473745:6473880_1 AluSx SINE/Alu
chr17:6473754:6473889 AluSx SINE/Alu
chr17:6473754:6473889_1 AluSx SINE/Alu
chr17:6473760:6473895 AluSx SINE/Alu
chr17:6473760:6473895_1 AluSx SINE/Alu
chr17:6473814:6473949 AluSx SINE/Alu
chr17:6473814:6473949_1 AluSx SINE/Alu
chr17:6473890:6474025 AluSx SINE/Alu
chr17:6473890:6474025_1 AluSx SINE/Alu
chr17:6473901:6474036 AluSx SINE/Alu
chr17:6473901:6474036_1 AluSx SINE/Alu
chr17:6474028:6474163 Charlie4z DNA/hAT-Charlie
chr17:6474028:6474163_1 Charlie4z DNA/hAT-Charlie
chr18:32073109:32073244 (TG)n Simple_repeat
chr18:32073109:32073244_1 (GT)n Simple_repeat
chr18:32073228:32073363 GA-rich Low_complexity
chr18:32073228:32073363_1 GA-rich Low_complexity
chr18:43096168:43096303 (CCTT)n Simple_repeat
chr18:43096168:43096303_1 (CCTT)n Simple_repeat
chr19:7253116:7253251 (ATTT)n Simple_repeat
chr19:7253116:7253251_1 (ATTT)n Simple_repeat
chr19:7255633:7255768 AluJb SINE/Alu
chr19:7255633:7255768_1 AluJb SINE/Alu
chr19:7256175:7256310 AluSx SINE/Alu
chr19:7256175:7256310_1 AluSx SINE/Alu
chr19:7256177:7256312 AluSx SINE/Alu
chr19:7256177:7256312_1 AluSx SINE/Alu
chr19:7257922:7258057 AluSx SINE/Alu
chr19:7257922:7258057_1 AluSx SINE/Alu
chr1:10789566:10789701 Charlie1a DNA/hAT-Charlie
chr1:10789566:10789701_1 Charlie1a DNA/hAT-Charlie
chr1:10789629:10789764 Charlie1a DNA/hAT-Charlie
chr1:10789629:10789764_1 Charlie1a DNA/hAT-Charlie
chr1:10790468:10790603 Charlie1a DNA/hAT-Charlie
chr1:10790468:10790603_1 Charlie1a DNA/hAT-Charlie
chr1:10790729:10790864 Charlie1a DNA/hAT-Charlie
chr1:10790729:10790864_1 Charlie1a DNA/hAT-Charlie
chr1:113068509:113068644 MIRb SINE/MIR
chr1:113068509:113068644_1 MIRb SINE/MIR
chr1:113071706:113071841 (GT)n Simple_repeat
chr1:113071706:113071841_1 (TG)n Simple_repeat
chr1:113071766:113071901 (GT)n Simple_repeat
chr1:113071766:113071901_1 (GT)n Simple_repeat
chr1:113075880:113076015 AluSx SINE/Alu
chr1:113075880:113076015_1 AluSx SINE/Alu
chr1:113081715:113081850 MER5A1 DNA/hAT-Charlie
chr1:113081715:113081850_1 MER5A1 DNA/hAT-Charlie
chr1:113082085:113082220 AluSx SINE/Alu
chr1:113082085:113082220_1 AluSx SINE/Alu
chr1:113082230:113082365 AluSx SINE/Alu
chr1:113082230:113082365_1 AluSx SINE/Alu
chr1:113085384:113085519 (ATAA)n Simple_repeat
chr1:113085384:113085519 AluSx SINE/Alu
chr1:113085384:113085519_1 (ATAA)n Simple_repeat
chr1:113085384:113085519_1 AluSx SINE/Alu
chr1:113086381:113086516 AluSx SINE/Alu
chr1:113086381:113086516_1 AluSx SINE/Alu
chr1:113086638:113086773 L2d2 LINE/L2
chr1:113086638:113086773_1 L2d2 LINE/L2
chr1:113086649:113086784 L2d2 LINE/L2
chr1:113086649:113086784_1 L2d2 LINE/L2
chr1:113090041:113090176 AluSx SINE/Alu
chr1:113090041:113090176_1 AluSx SINE/Alu
chr1:113090361:113090496 AluSx SINE/Alu
chr1:113090361:113090496_1 AluSx SINE/Alu
chr1:113092838:113092973 L1M4 LINE/L1
chr1:113092838:113092973_1 L1M4 LINE/L1
chr1:113093954:113094089 AluY SINE/Alu
chr1:113093954:113094089_1 AluY SINE/Alu
chr1:113095643:113095778 A-rich Low_complexity
chr1:113095643:113095778_1 A-rich Low_complexity
chr1:113095880:113096015 SVA_A Retroposon/SVA
chr1:113095880:113096015 7SLRNA srpRNA
chr1:113095880:113096015_1 SVA_A Retroposon/SVA
chr1:113095880:113096015_1 7SLRNA srpRNA
chr1:113097565:113097700 L1MB3 LINE/L1
chr1:113097565:113097700_1 L1MB3 LINE/L1
chr1:113102075:113102210 AluY SINE/Alu
chr1:113102075:113102210_1 AluY SINE/Alu
chr1:113102330:113102465 AluSx SINE/Alu
chr1:113102330:113102465_1 AluSx SINE/Alu
chr1:113104819:113104954 SVA_A Retroposon/SVA
chr1:113104819:113104954_1 SVA_A Retroposon/SVA
chr1:113106376:113106511 L5 LINE/RTE-X
chr1:113106376:113106511_1 L5 LINE/RTE-X
chr1:113107758:113107893 AluSx SINE/Alu
chr1:113107758:113107893 (T)n Simple_repeat
chr1:113107758:113107893 AluSx SINE/Alu
chr1:113107758:113107893_1 AluSx SINE/Alu
chr1:113107758:113107893_1 (T)n Simple_repeat
chr1:113107758:113107893_1 AluSx SINE/Alu
chr1:113108396:113108531 AluJb SINE/Alu
chr1:113108396:113108531_1 AluJb SINE/Alu
chr1:113108566:113108701 AluJb SINE/Alu
chr1:113108566:113108701_1 AluJb SINE/Alu
chr1:113110193:113110328 L1M5 LINE/L1
chr1:113110193:113110328_1 L1M5 LINE/L1
chr1:113111259:113111394 A-rich Low_complexity
chr1:113111259:113111394_1 (A)n Simple_repeat
chr1:113113126:113113261 (TA)n Simple_repeat
chr1:113113126:113113261_1 (TA)n Simple_repeat
chr1:113113653:113113788 AluJb SINE/Alu
chr1:113113653:113113788_1 AluJb SINE/Alu
chr1:113114043:113114178 AluSx SINE/Alu
chr1:113114043:113114178_1 AluSx SINE/Alu
chr1:113114906:113115041 Tigger1 DNA/TcMar-Tigger
chr1:113114906:113115041_1 Tigger1 DNA/TcMar-Tigger
chr1:113115876:113116011 AluSx SINE/Alu
chr1:113115876:113116011_1 AluSx SINE/Alu
chr1:113117145:113117280 AluY SINE/Alu
chr1:113117145:113117280_1 AluY SINE/Alu
chr1:113117832:113117967 Tigger7 DNA/TcMar-Tigger
chr1:113117832:113117967_1 Tigger7 DNA/TcMar-Tigger
chr1:113118261:113118396 Tigger7 DNA/TcMar-Tigger
chr1:113122692:113122827 7SLRNA srpRNA
chr1:113122692:113122827_1 7SLRNA srpRNA
chr1:113122710:113122845 AluJb SINE/Alu
chr1:113122710:113122845_1 AluJb SINE/Alu
chr1:113123292:113123427 AluY SINE/Alu
chr1:113123292:113123427_1 AluY SINE/Alu
chr1:113124171:113124306 AluJb SINE/Alu
chr1:113124171:113124306_1 AluJb SINE/Alu
chr1:113127362:113127497 SVA_A Retroposon/SVA
chr1:113127362:113127497_1 SVA_A Retroposon/SVA
chr1:113127886:113128021 MER33 DNA/hAT-Charlie
chr1:113127886:113128021_1 MER33 DNA/hAT-Charlie
chr1:113128144:113128279 AluY SINE/Alu
chr1:113128144:113128279_1 AluY SINE/Alu
chr1:113128218:113128353 AluY SINE/Alu
chr1:113128218:113128353_1 AluY SINE/Alu
chr1:113128863:113128998 AluJb SINE/Alu
chr1:113128863:113128998_1 AluJb SINE/Alu
chr1:113131091:113131226 L1M4 LINE/L1
chr1:113131091:113131226_1 L1M4 LINE/L1
chr1:113136975:113137110 Charlie2a DNA/hAT-Charlie
chr1:113136975:113137110_1 Charlie2a DNA/hAT-Charlie
chr1:113138042:113138177 AluJb SINE/Alu
chr1:113138042:113138177_1 AluJb SINE/Alu
chr1:113138250:113138385 SVA_A Retroposon/SVA
chr1:113138250:113138385_1 SVA_A Retroposon/SVA
chr1:113139128:113139263 MIR SINE/MIR
chr1:113139128:113139263_1 MIR SINE/MIR
chr1:113141107:113141242 SVA_E Retroposon/SVA
chr1:113141107:113141242_1 SVA_E Retroposon/SVA
chr1:113141482:113141617 AluSx SINE/Alu
chr1:113141482:113141617_1 AluSx SINE/Alu
chr1:113143828:113143963 AluY SINE/Alu
chr1:113143828:113143963_1 AluY SINE/Alu
chr1:113143892:113144027 AluY SINE/Alu
chr1:113143892:113144027_1 AluY SINE/Alu
chr1:113143944:113144079 AluY SINE/Alu
chr1:113143944:113144079_1 AluY SINE/Alu
chr1:113144371:113144506 AluSx SINE/Alu
chr1:113144371:113144506_1 AluSx SINE/Alu
chr1:113144711:113144846 (A)n Simple_repeat
chr1:113144711:113144846_1 (A)n Simple_repeat
chr1:113145566:113145701 AluY SINE/Alu
chr1:113145566:113145701_1 AluY SINE/Alu
chr1:113147539:113147674 AluSx SINE/Alu
chr1:113147539:113147674_1 AluSx SINE/Alu
chr1:113147829:113147964 AluSx SINE/Alu
chr1:113147829:113147964_1 AluSx SINE/Alu
chr1:113147830:113147965 AluSx SINE/Alu
chr1:113147830:113147965_1 AluSx SINE/Alu
chr1:113148199:113148334 AluSx SINE/Alu
chr1:113148199:113148334_1 AluSx SINE/Alu
chr1:113150576:113150711 7SLRNA srpRNA
chr1:113150576:113150711_1 7SLRNA srpRNA
chr1:113154012:113154147 MIR SINE/MIR
chr1:113154012:113154147_1 MIRc SINE/MIR
chr1:113154296:113154431 SVA_A Retroposon/SVA
chr1:113154296:113154431_1 SVA_A Retroposon/SVA
chr1:113154461:113154596 AluJb SINE/Alu
chr1:113154461:113154596_1 AluJb SINE/Alu
chr1:113155882:113156017 MIRb SINE/MIR
chr1:113155882:113156017_1 MIRb SINE/MIR
chr1:113158221:113158356 7SLRNA srpRNA
chr1:113158221:113158356_1 7SLRNA srpRNA
chr1:113160102:113160237 AluJb SINE/Alu
chr1:113160102:113160237_1 AluJb SINE/Alu
chr1:113160351:113160486 (CA)n Simple_repeat
chr1:113160351:113160486_1 (CA)n Simple_repeat
chr1:113163899:113164034 AluSx SINE/Alu
chr1:113163899:113164034_1 AluSx SINE/Alu
chr1:113166167:113166302 AluSx SINE/Alu
chr1:113166167:113166302_1 AluSx SINE/Alu
chr1:113166575:113166710 AluSx SINE/Alu
chr1:113166575:113166710_1 AluSx SINE/Alu
chr1:113169599:113169734 MIR SINE/MIR
chr1:113169599:113169734_1 MIR SINE/MIR
chr1:113170321:113170456 AluSx SINE/Alu
chr1:113170321:113170456_1 AluSx SINE/Alu
chr1:113179529:113179664 L3 LINE/CR1
chr1:113179529:113179664_1 L3 LINE/CR1
chr1:113181652:113181787 A-rich Low_complexity
chr1:113181652:113181787_1 A-rich Low_complexity
chr1:113181671:113181806 A-rich Low_complexity
chr1:113181671:113181806_1 A-rich Low_complexity
chr1:113184535:113184670 Charlie1b DNA/hAT-Charlie
chr1:113184535:113184670_1 Charlie1b DNA/hAT-Charlie
chr1:113188351:113188486 (A)n Simple_repeat
chr1:113188351:113188486 7SLRNA srpRNA
chr1:113188351:113188486_1 (A)n Simple_repeat
chr1:113188351:113188486_1 7SLRNA srpRNA
chr1:113188519:113188654 AluJb SINE/Alu
chr1:113188519:113188654_1 AluJb SINE/Alu
chr1:113188985:113189120 AluJb SINE/Alu
chr1:113188985:113189120_1 AluJb SINE/Alu
chr1:113191116:113191251 AluY SINE/Alu
chr1:113191116:113191251_1 AluY SINE/Alu
chr1:113191517:113191652 AluSx SINE/Alu
chr1:113191517:113191652_1 AluSx SINE/Alu
chr1:113197901:113198036 AluSx SINE/Alu
chr1:113197901:113198036_1 AluSx SINE/Alu
chr1:113198023:113198158 AluSx SINE/Alu
chr1:113198023:113198158_1 AluSx SINE/Alu
chr1:113198054:113198189 AluJb SINE/Alu
chr1:113198054:113198189 (TTG)n Simple_repeat
chr1:113198054:113198189_1 AluJb SINE/Alu
chr1:113198054:113198189_1 (TTG)n Simple_repeat
chr1:113206852:113206987 (A)n Simple_repeat
chr1:113206852:113206987_1 (A)n Simple_repeat
chr1:113207175:113207310 MIR SINE/MIR
chr1:113207175:113207310_1 MIR SINE/MIR
chr1:113210466:113210601 Charlie1b DNA/hAT-Charlie
chr1:113210466:113210601_1 Charlie1b DNA/hAT-Charlie
chr1:113215569:113215704 MER41A LTR/ERV1
chr1:113215569:113215704_1 MER41A LTR/ERV1
chr1:113215649:113215784 MER41B LTR/ERV1
chr1:113215649:113215784_1 MER41B LTR/ERV1
chr1:113215718:113215853 MER41A LTR/ERV1
chr1:113215718:113215853_1 MER41A LTR/ERV1
chr1:113218573:113218708_1 L3 LINE/CR1
chr1:113219320:113219455 MER31A LTR/ERV1
chr1:113219320:113219455_1 MER31A LTR/ERV1
chr1:113223165:113223300 AluY SINE/Alu
chr1:113223165:113223300_1 AluY SINE/Alu
chr1:113224846:113224981 AluJb SINE/Alu
chr1:113224846:113224981_1 AluJb SINE/Alu
chr1:113228555:113228690 MER102a DNA/hAT-Charlie
chr1:113228555:113228690_1 MER102a DNA/hAT-Charlie
chr1:113233630:113233765 AluSx SINE/Alu
chr1:113233630:113233765_1 AluSx SINE/Alu
chr1:113234818:113234953 AluJb SINE/Alu
chr1:113234818:113234953_1 AluJb SINE/Alu
chr1:113236162:113236297 AluJb SINE/Alu
chr1:113236162:113236297_1 AluJb SINE/Alu
chr1:113238525:113238660 AluSx SINE/Alu
chr1:113238525:113238660_1 AluSx SINE/Alu
chr1:113238597:113238732 AluSx SINE/Alu
chr1:113238597:113238732_1 AluSx SINE/Alu
chr1:113240038:113240173 AluSx SINE/Alu
chr1:113240038:113240173_1 AluSx SINE/Alu
chr1:11827728:11827863 AluJb SINE/Alu
chr1:11827728:11827863_1 AluJb SINE/Alu
chr1:11836262:11836397 AluSx SINE/Alu
chr1:11836262:11836397_1 AluSx SINE/Alu
chr1:11837513:11837648 AluSx SINE/Alu
chr1:11837513:11837648_1 AluSx SINE/Alu
chr1:11841877:11842012 AluY SINE/Alu
chr1:11841877:11842012_1 AluY SINE/Alu
chr1:11858889:11859024 AluSx SINE/Alu
chr1:11858889:11859024_1 AluSx SINE/Alu
chr1:11861787:11861922 AluSx SINE/Alu
chr1:11861787:11861922_1 AluSx SINE/Alu
chr1:11873444:11873579 AluSx SINE/Alu
chr1:11873444:11873579_1 AluSx SINE/Alu
chr1:11876232:11876367 Tigger1 DNA/TcMar-Tigger
chr1:11876232:11876367_1 Tigger1 DNA/TcMar-Tigger
chr1:11880663:11880798 AluY SINE/Alu
chr1:11880663:11880798_1 AluY SINE/Alu
chr1:11880669:11880804 AluY SINE/Alu
chr1:11880669:11880804_1 AluY SINE/Alu
chr1:11880670:11880805 AluY SINE/Alu
chr1:11880670:11880805_1 AluY SINE/Alu
chr1:11880673:11880808 AluY SINE/Alu
chr1:11880673:11880808_1 AluY SINE/Alu
chr1:11880680:11880815 AluY SINE/Alu
chr1:11880680:11880815_1 AluY SINE/Alu
chr1:11880687:11880822 AluY SINE/Alu
chr1:11880687:11880822_1 AluY SINE/Alu
chr1:11880692:11880827 AluY SINE/Alu
chr1:11880692:11880827_1 AluY SINE/Alu
chr1:11880700:11880835 AluY SINE/Alu
chr1:11880700:11880835_1 AluY SINE/Alu
chr1:11881073:11881208 AluSx SINE/Alu
chr1:11881073:11881208_1 AluSx SINE/Alu
chr1:11881373:11881508 AluSx SINE/Alu
chr1:11881373:11881508_1 AluSx SINE/Alu
chr1:11881879:11882014 L1ME3D LINE/L1
chr1:11881879:11882014_1 L1ME3D LINE/L1
chr1:11882074:11882209 L1ME3Cz LINE/L1
chr1:11882074:11882209 (T)n Simple_repeat
chr1:11882074:11882209_1 L1ME3Cz LINE/L1
chr1:11883463:11883598 AluSx SINE/Alu
chr1:11883463:11883598_1 AluSx SINE/Alu
chr1:11883466:11883601 AluSx SINE/Alu
chr1:11883466:11883601_1 AluSx SINE/Alu
chr1:11894065:11894200 (TGTGTG)n Simple_repeat
chr1:11894065:11894200_1 (TGTGTG)n Simple_repeat
chr1:11895407:11895542 AluJb SINE/Alu
chr1:11895407:11895542_1 AluJb SINE/Alu
chr1:15792732:15792867 AluSx SINE/Alu
chr1:15792732:15792867_1 AluSx SINE/Alu
chr1:15795434:15795569 AluSx SINE/Alu
chr1:15795434:15795569_1 AluSx SINE/Alu
chr1:15795528:15795663 AluSx SINE/Alu
chr1:15795528:15795663_1 AluSx SINE/Alu
chr1:15798129:15798264_1 Charlie4z DNA/hAT-Charlie
chr1:15807074:15807209 THE1C LTR/ERVL-MaLR
chr1:15807074:15807209_1 THE1C LTR/ERVL-MaLR
chr1:15810104:15810239 AluSx SINE/Alu
chr1:15810104:15810239_1 AluSx SINE/Alu
chr1:1696258:1696393 AluSx SINE/Alu
chr1:1696258:1696393_1 AluSx SINE/Alu
chr1:1698024:1698159 (T)n Simple_repeat
chr1:1698024:1698159_1 (T)n Simple_repeat
chr1:1702368:1702503 AluSx SINE/Alu
chr1:1702368:1702503_1 AluSx SINE/Alu
chr1:1703235:1703370 AluJb SINE/Alu
chr1:1703235:1703370_1 AluJb SINE/Alu
chr1:1703781:1703916 AluJb SINE/Alu
chr1:1703781:1703916_1 AluJb SINE/Alu
chr1:1703797:1703932 AluJb SINE/Alu
chr1:1703797:1703932_1 AluJb SINE/Alu
chr1:1704831:1704966 7SLRNA srpRNA
chr1:1704831:1704966 SVA_A Retroposon/SVA
chr1:1704831:1704966_1 7SLRNA srpRNA
chr1:1704831:1704966_1 SVA_A Retroposon/SVA
chr1:1704847:1704982 AluSx SINE/Alu
chr1:1704847:1704982_1 AluSx SINE/Alu
chr1:1705219:1705354 AluJb SINE/Alu
chr1:1705219:1705354_1 AluJb SINE/Alu
chr1:1722864:1722999 7SLRNA srpRNA
chr1:1722864:1722999_1 7SLRNA srpRNA
chr1:1724298:1724433 AluSx SINE/Alu
chr1:1724298:1724433_1 AluSx SINE/Alu
chr1:1728901:1729036 AluY SINE/Alu
chr1:1728901:1729036_1 AluY SINE/Alu
chr1:1740187:1740322 AluSx SINE/Alu
chr1:1740187:1740322_1 AluSx SINE/Alu
chr1:1748666:1748801 L1MB5 LINE/L1
chr1:1748666:1748801_1 L1MB5 LINE/L1
chr1:1751196:1751331 7SLRNA srpRNA
chr1:1751196:1751331_1 7SLRNA srpRNA
chr1:1762689:1762824 AluJb SINE/Alu
chr1:1762689:1762824_1 AluJb SINE/Alu
chr1:1767497:1767632 A-rich Low_complexity
chr1:1767497:1767632_1 A-rich Low_complexity
chr1:1774752:1774887 AluJb SINE/Alu
chr1:1774752:1774887_1 AluJb SINE/Alu
chr1:1778401:1778536 Tigger2 DNA/TcMar-Tigger
chr1:1778401:1778536_1 Tigger2 DNA/TcMar-Tigger
chr1:1781388:1781523 AluSx SINE/Alu
chr1:1781388:1781523_1 AluSx SINE/Alu
chr1:1797879:1798014 L1ME4b LINE/L1
chr1:1797879:1798014 MER30 DNA/hAT-Charlie
chr1:1797879:1798014_1 L1ME4b LINE/L1
chr1:1797879:1798014_1 MER30 DNA/hAT-Charlie
chr1:1806579:1806714 AluSx SINE/Alu
chr1:1806579:1806714_1 AluSx SINE/Alu
chr1:1808701:1808836 7SLRNA srpRNA
chr1:1808701:1808836_1 7SLRNA srpRNA
chr1:1810938:1811073 AluY SINE/Alu
chr1:1810938:1811073_1 AluY SINE/Alu
chr1:1811967:1812102 AluSx SINE/Alu
chr1:1811967:1812102_1 AluSx SINE/Alu
chr1:1818171:1818306 AluY SINE/Alu
chr1:1818171:1818306_1 AluY SINE/Alu
chr1:1832633:1832768 (AAAG)n Simple_repeat
chr1:1832633:1832768_1 (AAAG)n Simple_repeat
chr1:217716794:217716929 AluY SINE/Alu
chr1:217716794:217716929_1 AluY SINE/Alu
chr1:217720439:217720574 AluY SINE/Alu
chr1:217720439:217720574_1 AluY SINE/Alu
chr1:217721267:217721402 MSTA LTR/ERVL-MaLR
chr1:217721267:217721402_1 MSTA LTR/ERVL-MaLR
chr1:217721530:217721665 L1PA13 LINE/L1
chr1:217721530:217721665_1 L1PA13 LINE/L1
chr1:228191007:228191142 AluJb SINE/Alu
chr1:228191007:228191142_1 7SLRNA srpRNA
chr1:228204429:228204564 MSTB1 LTR/ERVL-MaLR
chr1:228204429:228204564_1 MSTB1 LTR/ERVL-MaLR
chr1:228207583:228207718 AluSx SINE/Alu
chr1:228207583:228207718_1 AluSx SINE/Alu
chr1:228212091:228212226 L1M4 LINE/L1
chr1:228212091:228212226_1 L1M4 LINE/L1
chr1:243462299:243462434 L1M5 LINE/L1
chr1:243462299:243462434_1 L1M5 LINE/L1
chr1:243462349:243462484 L1M5 LINE/L1
chr1:243462349:243462484_1 L1M5 LINE/L1
chr1:243464348:243464483 Tigger2b_Pri DNA/TcMar-Tigger
chr1:243464348:243464483_1 Tigger2b_Pri DNA/TcMar-Tigger
chr1:243474468:243474603 L1ME3G LINE/L1
chr1:243474468:243474603_1 L1ME4b LINE/L1
chr1:243481363:243481498 L1PA14 LINE/L1
chr1:243481363:243481498_1 L1PA14 LINE/L1
chr1:243481488:243481623 L1PA14 LINE/L1
chr1:243481488:243481623_1 L1PA14 LINE/L1
chr1:243486184:243486319 AluY SINE/Alu
chr1:243486184:243486319_1 AluY SINE/Alu
chr1:243491285:243491420 AluY SINE/Alu
chr1:243491285:243491420_1 AluY SINE/Alu
chr1:243498465:243498600 L2d2 LINE/L2
chr1:243498465:243498600_1 L2d2 LINE/L2
chr1:243499676:243499811 MSTA LTR/ERVL-MaLR
chr1:243499676:243499811_1 MSTA LTR/ERVL-MaLR
chr1:243499690:243499825 MSTA LTR/ERVL-MaLR
chr1:243499690:243499825_1 MSTA LTR/ERVL-MaLR
chr1:243499879:243500014 MSTA LTR/ERVL-MaLR
chr1:243499879:243500014_1 MSTA LTR/ERVL-MaLR
chr1:243500329:243500464 L1P4 LINE/L1
chr1:243500329:243500464_1 L1P4 LINE/L1
chr1:243500596:243500731 L1P4 LINE/L1
chr1:243500596:243500731_1 L1P4 LINE/L1
chr1:243501124:243501259 MIRb SINE/MIR
chr1:243501124:243501259_1 MIRb SINE/MIR
chr1:243501695:243501830 (TTT)n Simple_repeat
chr1:243501695:243501830_1 (TTT)n Simple_repeat
chr1:2985619:2985754 (GGC)n Simple_repeat
chr1:2985619:2985754_1 (GGC)n Simple_repeat
chr1:2985628:2985763 (CGG)n Simple_repeat
chr1:2985628:2985763_1 (CGG)n Simple_repeat
chr1:38434238:38434373_1 MER117 DNA/hAT-Charlie
chr1:38456376:38456511 AluSx SINE/Alu
chr1:38456376:38456511_1 AluSx SINE/Alu
chr1:38457951:38458086 AluJb SINE/Alu
chr1:38457951:38458086_1 AluJb SINE/Alu
chr1:38461251:38461386 L1PA8A LINE/L1
