statistic	pval	fdr	df.test	df.dna	df.rna.full	df.rna.red	logFC
2068__WILDTYPE_SNP_INDIV	4.14902744792334	0.0416584443016357	0.192996316352556	1	26	5	4	0.446929680530333
3633__WILDTYPE_SNP_INDIV	0.997576838964164	0.317897553147186	0.59049178149027	1	7	5	4	-1.26731325391587
2914__WILDTYPE_SNP_INDIV	0.414344103416681	0.519772804420981	0.751208441125491	1	11	5	4	-0.856845474791075
1494__WILDTYPE_SNP_INDIV	3.13819599194233	0.0764783550878853	0.276162246852341	1	22	5	4	1.31183528577491
678__WILDTYPE_SNP_INDIV	3.3694551049939	0.0664157186315787	0.253765154230053	1	26	5	4	-0.415232257401754
1543__WILDTYPE_SNP_INDIV	1.43638197628911	0.23072571378195	0.505825811073358	1	23	5	4	0.500656425234699
3890__WILDTYPE_SNP_INDIV	6.04463973865677	0.013948578933983	0.103202551731469	1	22	5	4	-1.22843923852249
360__WILDTYPE_SNP_INDIV	0.177746985675412	0.67331663774001	0.841455115588124	1	26	5	4	0.131901841200997
4608__WILDTYPE_SNP_INDIV	1.2136237497964	0.270615633199274	0.543977804343361	1	23	5	4	0.466887438035122
885__WILDTYPE_SNP_INDIV	0.777672369277013	0.3778539586217	0.639394036915263	1	11	5	4	1.11210301375817
2429__WILDTYPE_SNP_INDIV	2.33606835626756	0.126408238710376	0.361896849819165	1	25	5	4	0.530706083109898
1959__WILDTYPE_SNP_INDIV	1.58826900099712	0.207573619701481	0.476852944445863	1	26	5	4	-0.35555649799381
1201__WILDTYPE_SNP_INDIV	0.466160451008363	0.494758863985494	0.735319847713344	1	25	5	4	-0.258168855342324
1974__WILDTYPE_SNP_INDIV	0.0581244439258626	0.8094852733362	0.910892787737531	1	26	5	4	0.0541617031100095
1544__WILDTYPE_SNP_INDIV	0.162250964004215	0.687092508174286	0.8490428161325	1	26	5	4	-0.166746460253528
2588__WILDTYPE_SNP_INDIV	3.5827954743994	0.0583808297242252	0.23504161228738	1	22	5	4	0.836327229278837
2444__WILDTYPE_SNP_INDIV	0.737565353722175	0.390441900018294	0.650149437261551	1	23	5	4	0.472435614628937
112__WILDTYPE_SNP_INDIV	0.112392410698703	0.737436678333863	0.875411527767487	1	26	5	4	-0.113400563923818
1969__WILDTYPE_SNP_INDIV	1.95898114295233	0.161622325313192	0.414773015603214	1	26	5	4	0.265665543940281
4379__WILDTYPE_SNP_INDIV	5.93156570478368	0.0148720224658877	0.107337510990216	1	26	5	4	0.46106627438065
937__WILDTYPE_SNP_INDIV	2.94151404857166	0.0863297780907812	0.295728371805276	1	25	5	4	-0.770271609183603
4240__WILDTYPE_SNP_INDIV	0.0555921354366546	0.813603508428273	0.912475633780622	1	26	5	4	0.0468955693259425
3591__WILDTYPE_SNP_INDIV	8.07744017636924	0.00448197126670723	0.0519540582341256	1	26	5	4	0.647240524031836
3051__WILDTYPE_SNP_INDIV	1.07619722137861	0.299549823800398	0.572733999689309	1	26	5	4	0.226853651489554
2208__WILDTYPE_SNP_INDIV	0.620552779102127	0.430841943970483	0.687142070160967	1	26	5	4	0.118750267560589
2330__WILDTYPE_SNP_INDIV	1.06857305572521	0.301267981258348	0.574408042136994	1	26	5	4	0.270363589458608
148__WILDTYPE_SNP_INDIV	2.3610273346244	0.124400240921683	0.360033343933759	1	26	5	4	-0.27473398662823
3153__WILDTYPE_SNP_INDIV	0.746192280877494	0.387684461407028	0.647129645319071	1	26	5	4	0.128974687783428
259__WILDTYPE_SNP_INDIV	0.242589911661526	0.622341770090624	0.815519538682425	1	26	5	4	-0.149440067515952
3238__WILDTYPE_SNP_INDIV	11.9412565246284	0.000549044378558918	0.0133173293650805	1	26	5	4	0.660216594239471
1656__WILDTYPE_SNP_INDIV	10.7027998440744	0.00106973523723649	0.0207840461680078	1	26	5	4	0.589372000861703
614__WILDTYPE_SNP_INDIV	3.28602783345377	0.0698718670100077	0.261743563878904	1	26	5	4	0.460869293471461
2863__WILDTYPE_SNP_INDIV	0.713106580225485	0.398414427654728	0.656989096837944	1	26	5	4	0.150149108212452
321__WILDTYPE_SNP_INDIV	0.0452039059496201	0.831629531169004	0.922043096459179	1	26	5	4	-0.0566082185955576
4658__WILDTYPE_SNP_INDIV	1.90566201929005	0.167445925801794	0.422488432136071	1	26	5	4	0.319493959332339
3227__WILDTYPE_SNP_INDIV	0.001615539773411	0.967938638223789	0.985066496616389	1	26	5	4	-0.00492625003030334
1602__WILDTYPE_SNP_INDIV	0.0258988543373562	0.872147580689466	0.942209179587847	1	26	5	4	0.0301939101680164
435__WILDTYPE_SNP_INDIV	13.9333515641988	0.000189407711780154	0.00642164645398027	1	26	5	4	0.594187865173915
724__WILDTYPE_SNP_INDIV	3.48679448651365	0.061860258651511	0.243134628393613	1	26	5	4	0.413084810273296
4542__WILDTYPE_SNP_INDIV	0.321599988271601	0.570647693485754	0.782946893175418	1	19	5	4	0.382603379998816
3244__WILDTYPE_SNP_INDIV	10.0441370225682	0.00152833583104623	0.0256450477384295	1	19	5	4	2.13205154508727
1253__WILDTYPE_SNP_INDIV	0.550147273827861	0.458257524376579	0.706070609049294	1	26	5	4	-0.215029798766908
2683__WILDTYPE_SNP_INDIV	0.235423088696734	0.627531522809479	0.818415028053547	1	25	5	4	0.136608891169694
3519__WILDTYPE_SNP_INDIV	0.0265198402030364	0.87063722183805	0.942099746098499	1	26	5	4	0.0298296969462332
3369__WILDTYPE_SNP_INDIV	0.310314139363982	0.577487480844216	0.786648430477262	1	26	5	4	-0.077715029887728
3020__WILDTYPE_SNP_INDIV	0.118506494075064	0.730659996013398	0.872868968427679	1	26	5	4	0.0966835334700192
1615__WILDTYPE_SNP_INDIV	12.6718614549677	0.000371199788556027	0.0105407561259194	1	26	5	4	0.668447940913705
437__WILDTYPE_SNP_INDIV	0.464943776053587	0.495322511055686	0.73554761823654	1	26	5	4	0.179530731324961
4586__WILDTYPE_SNP_INDIV	11.605718813717	0.000657493288142205	0.0150971784200691	1	26	5	4	1.0776847457762
3125__WILDTYPE_SNP_INDIV	4.33017022659851	0.0374425010566052	0.18150157835419	1	26	5	4	0.457305351899951
420__WILDTYPE_SNP_INDIV	1.94266368965532	0.163379606498507	0.416609315401879	1	22	5	4	0.644592772883409
4475__WILDTYPE_SNP_INDIV	3.02080547600298	0.0822026287423579	0.286853748699194	1	18	5	4	-1.25158972539655
2579__WILDTYPE_SNP_INDIV	0.111752551126756	0.738157635547037	0.875535959710883	1	26	5	4	0.0828558616952238
1398__WILDTYPE_SNP_INDIV	0.279203512098547	0.597223738855623	0.799893197506957	1	25	5	4	0.171770215239359
4606__WILDTYPE_SNP_INDIV	0.931202334380714	0.334550694019623	0.604028886606535	1	24	5	4	-0.429545328464604
2581__WILDTYPE_SNP_INDIV	0.00346761140008311	0.95304256819632	0.979123980774202	1	26	5	4	0.0153677848838877
4416__WILDTYPE_SNP_INDIV	11.2088063565579	0.00081410067976654	0.0171353910622791	1	26	5	4	0.535170369244969
254__WILDTYPE_SNP_INDIV	8.25844334445628	0.00405628948485359	0.0487797796953639	1	26	5	4	0.72367256891004
1021__WILDTYPE_SNP_INDIV	2.33501857589727	0.126493481514677	0.361896849819165	1	26	5	4	-0.333746942321132
1785__WILDTYPE_SNP_INDIV	0.107080928239156	0.743492250319086	0.877741527498473	1	26	5	4	0.0441579862510342
4269__WILDTYPE_SNP_INDIV	0.729533246421852	0.393034523332052	0.653409487799491	1	26	5	4	0.14987789969604
3928__WILDTYPE_SNP_INDIV	20.7864385882698	5.1345260801219e-06	0.000410391204951946	1	21	5	4	2.4805532908262
3501__WILDTYPE_SNP_INDIV	1.90095900948518	0.167971014641448	0.422695512275174	1	26	5	4	0.300375884825898
2974__WILDTYPE_SNP_INDIV	0.682755547411261	0.408639473222703	0.667027493876106	1	26	5	4	0.293115953555043
2639__WILDTYPE_SNP_INDIV	2.34051576813584	0.126047813978467	0.361896849819165	1	16	5	4	-1.09793018875855
262__WILDTYPE_SNP_INDIV	0.0414201292910548	0.838729116384483	0.924971935379302	1	26	5	4	-0.0475381914507285
1893__WILDTYPE_SNP_INDIV	1.79237998759777	0.180636453890815	0.439582661329805	1	25	5	4	0.650613265288321
4665__WILDTYPE_SNP_INDIV	3.16432326981703	0.075263622216965	0.273836332842468	1	26	5	4	-0.518636889211494
1039__WILDTYPE_SNP_INDIV	3.13294946371298	0.0767248130856075	0.276635896316927	1	26	5	4	-0.190041699186718
2432__WILDTYPE_SNP_INDIV	0.0169341876621729	0.896462448287034	0.95285122687253	1	26	5	4	-0.0248399793045356
4701__WILDTYPE_SNP_INDIV	0.0678036625513414	0.794561903634234	0.903038640203827	1	26	5	4	0.0501024629720124
280__WILDTYPE_SNP_INDIV	2.80127084069136	0.0941896236872777	0.312152115086671	1	22	5	4	0.69049996444452
4547__WILDTYPE_SNP_INDIV	1.26207060867944	0.261259516249749	0.533752413147103	1	24	5	4	-0.508385868388248
3442__WILDTYPE_SNP_INDIV	4.02811639848483	0.044747875161954	0.201638547326025	1	23	5	4	0.906485670797193
3123__WILDTYPE_SNP_INDIV	0.264945338282132	0.606742816363174	0.80524302426075	1	26	5	4	-0.146431843507348
193__WILDTYPE_SNP_INDIV	0.00574100433777858	0.939602548984633	0.973478547620306	1	25	5	4	0.0281262357336388
1619__WILDTYPE_SNP_INDIV	1.42345367742746	0.23283578017652	0.508428038757524	1	26	5	4	0.302001849746938
734__WILDTYPE_SNP_INDIV	9.0696421002437	0.00259887930556833	0.0358391430673058	1	16	5	4	2.32930824527762
487__WILDTYPE_SNP_INDIV	1.57470995779431	0.20952432992837	0.47972674586176	1	25	5	4	0.327055543744736
514__WILDTYPE_SNP_INDIV	1.45874442541776	0.227130001477933	0.502071339056934	1	25	5	4	0.395116995740469
3714__WILDTYPE_SNP_INDIV	12.3594071270995	0.000438770003853254	0.0117588718536202	1	16	5	4	2.20662365656611
2254__WILDTYPE_SNP_INDIV	0.43769967098433	0.508234820904891	0.742892168725618	1	26	5	4	0.118347566465006
4691__WILDTYPE_SNP_INDIV	2.6738062905024	0.102011789978762	0.325718283505044	1	26	5	4	-0.471173100187794
882__WILDTYPE_SNP_INDIV	6.99753016730386	0.00816222552850074	0.0750393109411399	1	13	5	4	1.65029229706872
3853__WILDTYPE_SNP_INDIV	0.000325638448316568	0.985602591410967	0.992218761523229	1	10	5	4	0.0186790093978188
1146__WILDTYPE_SNP_INDIV	11.1308494645691	0.000849036995562908	0.0176386516956987	1	26	5	4	0.413717631567124
1316__WILDTYPE_SNP_INDIV	1.34065598972302	0.246918316242396	0.516097996362046	1	26	5	4	-0.214011730015302
531__WILDTYPE_SNP_INDIV	9.70439792603509	0.00183827540803235	0.0288060382082273	1	24	5	4	-1.35434668923794
4699__WILDTYPE_SNP_INDIV	0.0457020648332218	0.830718300288607	0.922043096459179	1	20	5	4	0.0919156144287264
3220__WILDTYPE_SNP_INDIV	6.85592087340956	0.00883480108264346	0.0778156769264253	1	26	5	4	-0.354696575415426
4433__WILDTYPE_SNP_INDIV	0.534514763396146	0.464714919272398	0.710855065815868	1	26	5	4	0.154472394599418
1506__WILDTYPE_SNP_INDIV	1.61142738039666	0.204291272442248	0.472706758172781	1	20	5	4	-0.798707222354307
495__WILDTYPE_SNP_INDIV	9.18689676327904	0.00243753802343481	0.0341353039476006	1	25	5	4	-1.10980315980403
3516__WILDTYPE_SNP_INDIV	1.11645601388523	0.290682847579398	0.565563852687619	1	23	5	4	-0.759950513604997
1455__WILDTYPE_SNP_INDIV	2.98923756698923	0.0838196248059216	0.290882063507149	1	26	5	4	-0.588511604725373
2871__WILDTYPE_SNP_INDIV	1.36631679795573	0.242445718163413	0.512418694598654	1	26	5	4	0.2386797752551
2856__WILDTYPE_SNP_INDIV	0.0959760155387812	0.756713081635565	0.885075817394364	1	26	5	4	-0.109292028969343
2242__WILDTYPE_SNP_INDIV	0.232478023525005	0.629692467953035	0.819607852917444	1	23	5	4	0.202953736036848
241__WILDTYPE_SNP_INDIV	0.224307067010614	0.63577756503844	0.823023331932811	1	26	5	4	-0.195097458600562
136__WILDTYPE_SNP_INDIV	4.14662581423954	0.0417175756072666	0.192996316352556	1	26	5	4	0.39978065761103
121__WILDTYPE_SNP_INDIV	0.8017209815971	0.370579321939981	0.634919730806843	1	26	5	4	0.172718055980532
3640__WILDTYPE_SNP_INDIV	1.48036269964518	0.223717783202886	0.496357670638303	1	26	5	4	-0.414494379211779
4647__WILDTYPE_SNP_INDIV	0.0944262349044038	0.758623772508102	0.886014963316228	1	26	5	4	0.0809443875973615
3839__WILDTYPE_SNP_INDIV	1.09432077592692	0.29551584362651	0.569134294791826	1	25	5	4	0.326250937885626
33__WILDTYPE_SNP_INDIV	2.0560581871664	0.151601898902478	0.400626383718609	1	26	5	4	0.303636603286061
625__WILDTYPE_SNP_INDIV	1.31673315805165	0.25117918929055	0.520843399973681	1	26	5	4	0.187651136660945
3761__WILDTYPE_SNP_INDIV	0.483692139817322	0.486754671590475	0.727252698929854	1	25	5	4	-0.273771531933479
525__WILDTYPE_SNP_INDIV	6.50461321419743	0.0107594966580823	0.0869273139093212	1	26	5	4	0.486887253243489
1431__WILDTYPE_SNP_INDIV	0.125089043205207	0.723579241679787	0.870698957001873	1	26	5	4	0.0637261215818577
2981__WILDTYPE_SNP_INDIV	6.31015765382335	0.012004816416849	0.0933024696604892	1	21	5	4	1.23806596588526
2182__WILDTYPE_SNP_INDIV	2.18428804392897	0.13942552302601	0.381787876966247	1	26	5	4	0.464628741344586
2484__WILDTYPE_SNP_INDIV	0.0363046065690469	0.848887821515991	0.929245587466981	1	26	5	4	0.0300057022330011
2494__WILDTYPE_SNP_INDIV	0.761159730866893	0.382965831376422	0.643956911273808	1	26	5	4	0.193494291538902
4536__WILDTYPE_SNP_INDIV	4.59515046796889	0.0320625283671	0.166041621892243	1	18	5	4	-1.28907596096747
3995__WILDTYPE_SNP_INDIV	1.35055321940649	0.245181425536602	0.514934643829389	1	24	5	4	0.559984492328233
2151__WILDTYPE_SNP_INDIV	7.9929873514875	0.0046958870481406	0.0532755601513635	1	26	5	4	0.811582240271463
4554__WILDTYPE_SNP_INDIV	3.54574437670044	0.0596983752582762	0.238148381433473	1	26	5	4	0.385924212208352
2116__WILDTYPE_SNP_INDIV	6.73711701236516	0.00944271040673785	0.0809206557891695	1	24	5	4	1.22047605067396
1322__WILDTYPE_SNP_INDIV	1.34791945410552	0.245642170190565	0.515570726272441	1	26	5	4	-0.218055482946755
3624__WILDTYPE_SNP_INDIV	0.24138124909814	0.623210279026834	0.8160308110122	1	26	5	4	0.123588577242897
3673__WILDTYPE_SNP_INDIV	0.0130368124159759	0.909096008381236	0.959690220902233	1	26	5	4	-0.062963675557435
3936__WILDTYPE_SNP_INDIV	0.158353897746565	0.690676586715959	0.851414574788053	1	26	5	4	-0.0738711357691252
3941__WILDTYPE_SNP_INDIV	5.23721093400513	0.0221086910175625	0.133626710570885	1	25	5	4	0.908255811465285
2768__WILDTYPE_SNP_INDIV	13.7394099561166	0.000210001455488006	0.00690475492488051	1	26	5	4	0.608410833013668
2694__WILDTYPE_SNP_INDIV	0.192757565662532	0.660631361445295	0.838402325684427	1	25	5	4	0.105056475312231
443__WILDTYPE_SNP_INDIV	0.789311258049338	0.374308467202176	0.636650716422247	1	26	5	4	-0.333475973054095
1642__WILDTYPE_SNP_INDIV	3.27504392773062	0.0703410434349969	0.262697795676693	1	26	5	4	0.579287509916938
2808__WILDTYPE_SNP_INDIV	1.02987777282942	0.310187377043523	0.583912374078128	1	26	5	4	0.369823104833152
4418__WILDTYPE_SNP_INDIV	0.0275611187703362	0.868144817312126	0.941094867468012	1	26	5	4	0.0417144025736484
1861__WILDTYPE_SNP_INDIV	0.0611551048584715	0.804679477712324	0.909266968104884	1	23	5	4	-0.0767528253931499
1457__WILDTYPE_SNP_INDIV	1.27645466144872	0.258559273178072	0.530948203672043	1	25	5	4	-0.460172136379535
3192__WILDTYPE_SNP_INDIV	2.67863515423005	0.10170285980171	0.325381349458936	1	26	5	4	0.434412398529254
3402__WILDTYPE_SNP_INDIV	7.82367923649372	0.00515661152676759	0.0556102892515903	1	26	5	4	-0.500544375025315
2511__WILDTYPE_SNP_INDIV	0.430739088379141	0.511626511540948	0.744797809514644	1	26	5	4	0.121309867073059
1874__WILDTYPE_SNP_INDIV	2.61311035601193	0.10598370715248	0.331345804967266	1	26	5	4	-0.360292743596462
843__WILDTYPE_SNP_INDIV	7.89675087988917	0.0049523675832868	0.054608831310769	1	26	5	4	0.955010355965653
65__WILDTYPE_SNP_INDIV	0.341545410268282	0.558938537284926	0.776623844677895	1	26	5	4	0.112467639768735
325__WILDTYPE_SNP_INDIV	14.4395118713824	0.000144733594757026	0.00555661216991173	1	26	5	4	0.624018203875414
3398__WILDTYPE_SNP_INDIV	5.80677998030023	0.0159644997418147	0.110326011296382	1	24	5	4	0.865314738466654
4084__WILDTYPE_SNP_INDIV	6.41219073351976	0.0113339494825406	0.0902016974572346	1	26	5	4	0.517519252084711
1470__WILDTYPE_SNP_INDIV	5.88951257645522	0.0152313156288592	0.107809857968872	1	26	5	4	0.43543250698709
3291__WILDTYPE_SNP_INDIV	0.105092265045187	0.745802238489713	0.879073434076624	1	26	5	4	-0.108745410488495
1047__WILDTYPE_SNP_INDIV	6.93753383577643	0.00844054070572108	0.0765359957238575	1	23	5	4	0.975900854228089
3097__WILDTYPE_SNP_INDIV	5.92713022126054	0.0149095030321016	0.107337510990216	1	26	5	4	0.42656804852468
1709__WILDTYPE_SNP_INDIV	1.4643239674474	0.226243383482892	0.500572612878929	1	26	5	4	-0.580027842668693
1181__WILDTYPE_SNP_INDIV	0.00435420669737141	0.947388642752355	0.977115430167322	1	26	5	4	-0.0113049791892946
2984__WILDTYPE_SNP_INDIV	5.88097852649844	0.0153053133915176	0.108174078005733	1	26	5	4	0.601733575822496
2645__WILDTYPE_SNP_INDIV	0.280360620231704	0.596464950857027	0.79981553028828	1	26	5	4	0.179678463935287
2946__WILDTYPE_SNP_INDIV	0.312696711019726	0.576030071095457	0.785864063271379	1	26	5	4	0.127902519282866
3131__WILDTYPE_SNP_INDIV	0.00991180002733927	0.920695220647379	0.965141189140841	1	26	5	4	-0.0355588335162236
3887__WILDTYPE_SNP_INDIV	0.389715625735334	0.53244891878544	0.759915026061583	1	26	5	4	0.0970534984533091
918__WILDTYPE_SNP_INDIV	1.51938405670217	0.217712727625665	0.490518018720924	1	26	5	4	0.333035975290777
3302__WILDTYPE_SNP_INDIV	1.58847541095338	0.207544090348809	0.476852944445863	1	26	5	4	0.495972943156941
886__WILDTYPE_SNP_INDIV	0.0993800236460629	0.752574902121717	0.88355839385655	1	26	5	4	0.0543872806960095
3721__WILDTYPE_SNP_INDIV	1.59594060420204	0.206479436300451	0.475934108936534	1	26	5	4	0.42735052514513
1780__WILDTYPE_SNP_INDIV	2.18755385651139	0.139130118247021	0.381787876966247	1	26	5	4	0.27673798051303
2431__WILDTYPE_SNP_INDIV	2.57269281322715	0.10872251724127	0.334842227907304	1	26	5	4	0.195273289939645
4054__WILDTYPE_SNP_INDIV	20.4022753932387	6.27551351930879e-06	0.00047056545904942	1	13	5	4	2.92309952598642
1208__WILDTYPE_SNP_INDIV	0.02240297498156	0.881020059560887	0.947026772573835	1	26	5	4	-0.0338957400473865
3730__WILDTYPE_SNP_INDIV	0.0292016235114261	0.864314328823363	0.938426349326543	1	24	5	4	-0.0774796445165209
150__WILDTYPE_SNP_INDIV	0.000963528184456663	0.975237041210797	0.987419348730076	1	26	5	4	-0.00541411941997211
3014__WILDTYPE_SNP_INDIV	0.0332870100110085	0.855231724258702	0.932372437278762	1	26	5	4	0.0437073615683528
202__WILDTYPE_SNP_INDIV	0.814903344695722	0.366674534806486	0.629803540635765	1	25	5	4	0.242442680158413
1472__WILDTYPE_SNP_INDIV	5.49703661526178	0.019048727944469	0.123366862895421	1	23	5	4	-0.915076930788069
3070__WILDTYPE_SNP_INDIV	0.126637079120883	0.721944634610159	0.869827214395523	1	26	5	4	0.0738399616746459
2754__WILDTYPE_SNP_INDIV	1.18633840051416	0.276069390459464	0.549216721992811	1	21	5	4	-0.573687769561529
3308__WILDTYPE_SNP_INDIV	0.00728247891970568	0.931993126082182	0.970385027775911	1	26	5	4	0.0349972693477113
4022__WILDTYPE_SNP_INDIV	0.508873467219473	0.475626930545348	0.718681876475795	1	26	5	4	0.210117603921729
2032__WILDTYPE_SNP_INDIV	1.0281857703535	0.310585159232048	0.583912374078128	1	26	5	4	-0.22976247686801
2576__WILDTYPE_SNP_INDIV	0.0893490974806355	0.765006279833506	0.888937426805384	1	22	5	4	0.149692554329392
714__WILDTYPE_SNP_INDIV	0.582244427071146	0.44543391948179	0.698230049698753	1	26	5	4	0.179359091932765
1857__WILDTYPE_SNP_INDIV	10.166141690966	0.00143043308518459	0.0249243757982676	1	26	5	4	1.08510628155631
1302__WILDTYPE_SNP_INDIV	1.34480484699316	0.246188397922137	0.515695382640041	1	26	5	4	0.271922801095474
2578__WILDTYPE_SNP_INDIV	5.07972169601169	0.0242072552825618	0.140472331440162	1	16	5	4	1.85859402971899
807__WILDTYPE_SNP_INDIV	0.0157215813376297	0.900218184609397	0.954858407166745	1	26	5	4	-0.0522348433926929
3656__WILDTYPE_SNP_INDIV	3.65306320433979	0.0559661897864802	0.227804702956165	1	25	5	4	0.974689824332778
94__WILDTYPE_SNP_INDIV	4.40938080509204	0.0357418123595348	0.175383392140499	1	26	5	4	1.12885153891151
3746__WILDTYPE_SNP_INDIV	1.62378428588841	0.202564929268056	0.470072096497775	1	18	5	4	0.83918218480452
1796__WILDTYPE_SNP_INDIV	0.120948904698253	0.728007596047752	0.872554558799491	1	26	5	4	-0.052015415912766
2958__WILDTYPE_SNP_INDIV	5.42506400719458	0.0198497077801608	0.126673866538553	1	26	5	4	0.33849641211936
289__WILDTYPE_SNP_INDIV	1.41903235277209	0.233562738720193	0.508791458519385	1	26	5	4	-0.404430036999404
2766__WILDTYPE_SNP_INDIV	0.049235389461046	0.824399134050421	0.919006864880908	1	26	5	4	0.0372168265958244
4438__WILDTYPE_SNP_INDIV	0.0263221439099652	0.871116069707639	0.942099746098499	1	26	5	4	0.0368431348966657
1904__WILDTYPE_SNP_INDIV	1.69831739942629	0.192508171650751	0.456671634084011	1	25	5	4	0.52748247315775
3703__WILDTYPE_SNP_INDIV	0.0148491415920944	0.903012228078569	0.95621263957393	1	24	5	4	-0.0498535036829553
283__WILDTYPE_SNP_INDIV	0.0814072289813339	0.775399358669702	0.894392480272515	1	26	5	4	-0.0488665661265609
1567__WILDTYPE_SNP_INDIV	4.13322238959086	0.0420492087331944	0.194032839144807	1	26	5	4	0.603454638886475
295__WILDTYPE_SNP_INDIV	1.18348076278835	0.276648518992434	0.549216721992811	1	26	5	4	0.229128902159236
4256__WILDTYPE_SNP_INDIV	0.810581125452075	0.367948496549372	0.631088218348977	1	14	5	4	-0.758114935320247
579__WILDTYPE_SNP_INDIV	5.5307488259557	0.0186851068540816	0.122332643646299	1	24	5	4	1.02348941268266
2717__WILDTYPE_SNP_INDIV	0.202422533541039	0.65277251159729	0.832116900779255	1	25	5	4	0.196713049509831
995__WILDTYPE_SNP_INDIV	12.0425008362308	0.000520011587602352	0.0131343979415984	1	26	5	4	0.68299433310585
3451__WILDTYPE_SNP_INDIV	0.0851241283735362	0.770469828161647	0.892396609097662	1	26	5	4	0.0665660957295387
2187__WILDTYPE_SNP_INDIV	5.57297432313248	0.0182397523419268	0.120402436711014	1	25	5	4	0.957947722002156
317__WILDTYPE_SNP_INDIV	0.223014248593699	0.636752747834609	0.823331332162282	1	26	5	4	0.113368765848473
441__WILDTYPE_SNP_INDIV	2.22960269945224	0.135388657444437	0.376001254094822	1	25	5	4	-0.440818689522959
3945__WILDTYPE_SNP_INDIV	2.52588875382969	0.111991666124051	0.338068924167926	1	15	5	4	-0.883524168509857
1089__WILDTYPE_SNP_INDIV	3.86650323985714	0.0492590485043	0.211066226582264	1	26	5	4	0.580473741369059
3875__WILDTYPE_SNP_INDIV	1.3939380892898	0.237741174849103	0.510054190361586	1	26	5	4	0.216451382523507
2691__WILDTYPE_SNP_INDIV	0.944977310014565	0.331001083593088	0.601567644674822	1	26	5	4	-0.204670554106647
1583__WILDTYPE_SNP_INDIV	0.443999237245862	0.505198483126104	0.741512050227274	1	26	5	4	0.144888202273173
27__WILDTYPE_SNP_INDIV	0.441098921999355	0.506592528892416	0.742086064850204	1	26	5	4	-0.200511763393155
3075__WILDTYPE_SNP_INDIV	0.064638696660495	0.799309057615842	0.905313845495972	1	26	5	4	0.0629509991498604
3015__WILDTYPE_SNP_INDIV	1.30950676928524	0.252483976875764	0.522271812511549	1	26	5	4	0.179640034248619
3386__WILDTYPE_SNP_INDIV	1.8565471024117	0.173023843656193	0.42911701586877	1	25	5	4	0.593709312682779
4173__WILDTYPE_SNP_INDIV	0.224646596894218	0.635522025668511	0.823023331932811	1	26	5	4	-0.0893252390558129
4441__WILDTYPE_SNP_INDIV	1.05963577419834	0.303298271101082	0.576903845824056	1	26	5	4	0.37420050128425
1265__WILDTYPE_SNP_INDIV	6.72907072480348	0.00948540038399054	0.0810576777517321	1	25	5	4	1.09460467806288
2223__WILDTYPE_SNP_INDIV	0.491300914766725	0.48334756941167	0.724269011841525	1	26	5	4	-0.156631067309692
2176__WILDTYPE_SNP_INDIV	0.106242897057768	0.744462771729927	0.878455087664598	1	24	5	4	-0.152080821982377
1626__WILDTYPE_SNP_INDIV	0.189918599312932	0.662984375226387	0.838402325684427	1	26	5	4	-0.111440237208792
2828__WILDTYPE_SNP_INDIV	3.08182494210405	0.0791716452862608	0.28157783543283	1	26	5	4	0.280309496588255
3352__WILDTYPE_SNP_INDIV	0.0717393545246523	0.788820914887676	0.899720605450721	1	26	5	4	0.0363119549680201
3380__WILDTYPE_SNP_INDIV	2.20287564467901	0.13775354641773	0.379930614516486	1	22	5	4	0.67195475313053
1377__WILDTYPE_SNP_INDIV	0.184280008904807	0.667720579648755	0.839945232433651	1	26	5	4	-0.0773047454900677
1327__WILDTYPE_SNP_INDIV	66.2150020941535	4.04323454352623e-16	1.2127176608989e-13	1	26	5	4	1.08458498358195
328__WILDTYPE_SNP_INDIV	2.62838787903911	0.104968243994283	0.32967447835639	1	26	5	4	0.399443328042301
2617__WILDTYPE_SNP_INDIV	0.360459742151761	0.548251017304235	0.769314804690943	1	23	5	4	-0.248506893880932
3045__WILDTYPE_SNP_INDIV	0.205191328303044	0.650562787136824	0.831804632304774	1	26	5	4	0.150791806901845
4654__WILDTYPE_SNP_INDIV	1.04664654792288	0.306280683076953	0.579976508227203	1	8	5	4	-0.808568875068128
4113__WILDTYPE_SNP_INDIV	1.10632527770326	0.292882148815324	0.567768639923479	1	21	5	4	0.591601721194855
4550__WILDTYPE_SNP_INDIV	5.0845933286198	0.024139337388031	0.140417794091104	1	25	5	4	0.939077142879596
3395__WILDTYPE_SNP_INDIV	4.39795764055532	0.0359819971381524	0.176381618249227	1	22	5	4	-1.08395302050282
1918__WILDTYPE_SNP_INDIV	0.100306767081292	0.751461811697744	0.883022829171761	1	26	5	4	-0.0486471076943262
4641__WILDTYPE_SNP_INDIV	0.171704079146821	0.678601758081514	0.844337525805856	1	26	5	4	0.109440814808413
1278__WILDTYPE_SNP_INDIV	17.8934108612343	2.33628589848445e-05	0.00131387629442087	1	26	5	4	0.441124462523457
3081__WILDTYPE_SNP_INDIV	0.134543099675966	0.713767333461448	0.864475527986	1	21	5	4	-0.158143413324094
1730__WILDTYPE_SNP_INDIV	0.00589184295222367	0.938815791781493	0.973293796664374	1	26	5	4	0.00799261279383147
3201__WILDTYPE_SNP_INDIV	0.889391226589396	0.345642333033465	0.612532332432644	1	26	5	4	-0.366536402247212
