statistic	pval	fdr	df.test	df.dna	df.rna.full	df.rna.red	logFC
2984__WILDTYPE_SNP_INDIV	17.2654510342813	3.25043497337982e-05	0.000238862239786903	1	26	5	4	-0.353090058421466
2645__WILDTYPE_SNP_INDIV	26.743372839348	2.3234721861705e-07	3.33331561992103e-06	1	26	5	4	-0.656680332260945
2946__WILDTYPE_SNP_INDIV	1.32681947916353	0.249371824826332	0.378906414832549	1	26	5	4	0.0947126329241106
3131__WILDTYPE_SNP_INDIV	35.2111429860774	2.95826032915872e-09	7.25377507241675e-08	1	26	5	4	-0.630469566135798
3887__WILDTYPE_SNP_INDIV	4.49549195962391	0.0339843338217805	0.0794014138782096	1	26	5	4	-0.170614413038089
918__WILDTYPE_SNP_INDIV	2.80891616857389	0.0937416889442897	0.178495466349547	1	26	5	4	-0.168364631552167
3302__WILDTYPE_SNP_INDIV	9.97547402887585	0.00158639148967254	0.00628636629643796	1	26	5	4	-0.415795205416157
886__WILDTYPE_SNP_INDIV	9.40806400982774	0.00216033206204954	0.00818168312861315	1	26	5	4	-0.28975881598955
3721__WILDTYPE_SNP_INDIV	31.3367550995722	2.16933584595775e-08	4.23814149417599e-07	1	26	5	4	-0.530088857825312
1780__WILDTYPE_SNP_INDIV	6.68120652199195	0.00974346520735964	0.0285357061465999	1	26	5	4	0.287989864153698
2431__WILDTYPE_SNP_INDIV	0.066927587335158	0.795863889984171	0.865171195490596	1	26	5	4	-0.0212697881249122
4054__WILDTYPE_SNP_INDIV	0.141461496228317	0.706832388599094	0.798551118854548	1	13	5	4	0.0837830831940304
1208__WILDTYPE_SNP_INDIV	23.0008261988146	1.61931791622195e-06	1.78087915454524e-05	1	26	5	4	-0.465324395777654
3730__WILDTYPE_SNP_INDIV	0.0375520000202414	0.846345497824104	0.902610640967849	1	24	5	4	-0.0303375376167894
150__WILDTYPE_SNP_INDIV	1.45254920468642	0.228119351143972	0.353089082640235	1	26	5	4	-0.115374954853825
3014__WILDTYPE_SNP_INDIV	0.0916566694322682	0.762081514423645	0.839348986901128	1	26	5	4	0.0298661678072233
202__WILDTYPE_SNP_INDIV	15.0751473302253	0.000103314588200726	0.000631717443883831	1	25	5	4	0.452148887060687
1472__WILDTYPE_SNP_INDIV	0.0971630607532461	0.755261004689295	0.834912500317861	1	23	5	4	-0.0568311689665664
3070__WILDTYPE_SNP_INDIV	16.8109619764086	4.12940758414321e-05	0.000291423389858917	1	26	5	4	-0.297237804283234
2754__WILDTYPE_SNP_INDIV	0.0773433283761733	0.780930464022249	0.852601501610843	1	21	5	4	-0.0489345668473471
3308__WILDTYPE_SNP_INDIV	5.80702257179973	0.0159622975211514	0.0427553989243064	1	26	5	4	-0.322500362637964
4022__WILDTYPE_SNP_INDIV	15.8397579702555	6.89386542921396e-05	0.000453861880175374	1	26	5	4	0.370451663245368
2032__WILDTYPE_SNP_INDIV	0.166643770146038	0.683111984755653	0.779078357554739	1	26	5	4	-0.057093246101062
2576__WILDTYPE_SNP_INDIV	0.762742014795094	0.382471776071368	0.519844924508278	1	22	5	4	-0.170252894965733
714__WILDTYPE_SNP_INDIV	2.25219048752433	0.13342541426871	0.234543723838851	1	26	5	4	0.192251181004634
1857__WILDTYPE_SNP_INDIV	40.3543436034251	2.11833954775227e-10	6.87887828817394e-09	1	26	5	4	0.699173160393059
1302__WILDTYPE_SNP_INDIV	3.3552738928397	0.0669900658770983	0.136710936987403	1	26	5	4	0.162680516466671
2578__WILDTYPE_SNP_INDIV	5.57906321506198	0.0181764427708579	0.0476573835006782	1	16	5	4	0.668355069621067
807__WILDTYPE_SNP_INDIV	3.02734015558985	0.0818721301931183	0.160537518444768	1	26	5	4	-0.229042617469151
3656__WILDTYPE_SNP_INDIV	4.00526004731455	0.0453584995117012	0.100503895183604	1	25	5	4	-0.326230574811412
94__WILDTYPE_SNP_INDIV	35.7052286835135	2.29547093379665e-09	5.71607943410709e-08	1	26	5	4	1.09183818458363
3746__WILDTYPE_SNP_INDIV	9.30802837490262	0.00228151871513113	0.0085530256980657	1	18	5	4	0.729003053807409
1796__WILDTYPE_SNP_INDIV	4.21404195627065	0.0400906996746696	0.0907793417246409	1	26	5	4	-0.189952895082497
2958__WILDTYPE_SNP_INDIV	8.60940263546763	0.00334431971031703	0.0117491231928243	1	26	5	4	0.263817864124466
289__WILDTYPE_SNP_INDIV	26.8085585068679	2.24640255495055e-07	3.26169506921219e-06	1	26	5	4	-0.604719449477219
2766__WILDTYPE_SNP_INDIV	0.146277784771428	0.702118124985874	0.794190004170654	1	26	5	4	0.0354581717530676
4438__WILDTYPE_SNP_INDIV	2.02582517584642	0.154644902634779	0.263278486214477	1	26	5	4	-0.1390084002164
1904__WILDTYPE_SNP_INDIV	0.0288580747919696	0.865107148092208	0.913781308512341	1	25	5	4	0.0193327611020884
3703__WILDTYPE_SNP_INDIV	2.49965172054817	0.113871477834281	0.2082641019866	1	24	5	4	-0.205957593523975
283__WILDTYPE_SNP_INDIV	0.0105771767707665	0.918085670478572	0.947459680549714	1	26	5	4	0.0112870577963768
1567__WILDTYPE_SNP_INDIV	3.30349797759709	0.0691325198719141	0.140347689406279	1	26	5	4	-0.18562339076115
295__WILDTYPE_SNP_INDIV	9.95221817967695	0.00160655704024208	0.00634438219835945	1	26	5	4	-0.378422696829429
4256__WILDTYPE_SNP_INDIV	12.4886763482225	0.000409426187607651	0.00202855902849729	1	14	5	4	0.778250531782099
579__WILDTYPE_SNP_INDIV	0.000150311103425338	0.990218066339378	0.992903823665147	1	24	5	4	0.00251455931647188
2717__WILDTYPE_SNP_INDIV	3.75291476420534	0.0527155099110928	0.113254689598888	1	25	5	4	0.255100282461242
995__WILDTYPE_SNP_INDIV	21.9157097453503	2.84892120798797e-06	2.88858973113717e-05	1	26	5	4	0.361444521442247
3451__WILDTYPE_SNP_INDIV	36.0527229858344	1.92050227671011e-09	4.90953933078128e-08	1	26	5	4	-0.58770040779441
2187__WILDTYPE_SNP_INDIV	11.0216802094787	0.000900524087765895	0.00391312727468616	1	25	5	4	0.387068301402086
317__WILDTYPE_SNP_INDIV	8.05043826986685	0.00454926474658711	0.0151306341675416	1	26	5	4	0.297988489026987
441__WILDTYPE_SNP_INDIV	24.8262448160776	6.27374362218637e-07	7.85198225214263e-06	1	25	5	4	-0.520299230689544
3945__WILDTYPE_SNP_INDIV	1.19417845571843	0.274488329720754	0.407233200794753	1	15	5	4	-0.223436893339852
1089__WILDTYPE_SNP_INDIV	8.26095972891653	0.004050670814922	0.0138067545649044	1	26	5	4	0.289294049146191
3875__WILDTYPE_SNP_INDIV	0.927734716421128	0.335452250210554	0.47153656464227	1	26	5	4	-0.0851490365819373
2691__WILDTYPE_SNP_INDIV	11.6990430471174	0.000625322490914542	0.00287584829803006	1	26	5	4	-0.372374579770762
1583__WILDTYPE_SNP_INDIV	2.16892437859724	0.140824703268219	0.244421640992077	1	26	5	4	-0.145013962972015
27__WILDTYPE_SNP_INDIV	0.0511014330913895	0.821157662782666	0.883475201999886	1	26	5	4	-0.0351587211191783
3075__WILDTYPE_SNP_INDIV	0.993023789797007	0.319004455178444	0.454936323913234	1	26	5	4	-0.103121852350233
3015__WILDTYPE_SNP_INDIV	0.222356071202739	0.637250544585543	0.743355853708282	1	26	5	4	0.039862224104686
3386__WILDTYPE_SNP_INDIV	34.3888710006763	4.51296438684003e-09	1.03776587766283e-07	1	25	5	4	0.828656223276794
4173__WILDTYPE_SNP_INDIV	3.04162544577639	0.0811546183775846	0.159390721668439	1	26	5	4	-0.175348840848726
4441__WILDTYPE_SNP_INDIV	3.80194593654369	0.0511930549540749	0.110728102074295	1	26	5	4	0.254615206700132
1265__WILDTYPE_SNP_INDIV	4.04605804885273	0.0442746165971391	0.0985566500073415	1	25	5	4	0.364001062205372
2223__WILDTYPE_SNP_INDIV	1.27580985630811	0.258679577747355	0.389008337342775	1	26	5	4	-0.0995055760678907
2176__WILDTYPE_SNP_INDIV	1.88149668038523	0.170164137722533	0.282880956725871	1	24	5	4	0.15942831526468
1626__WILDTYPE_SNP_INDIV	2.57430645275417	0.108611695182094	0.200687353727467	1	26	5	4	0.178078510759249
2828__WILDTYPE_SNP_INDIV	0.286440519748339	0.592510610473643	0.70994913835361	1	26	5	4	0.0397969959164443
3352__WILDTYPE_SNP_INDIV	0.272018049344297	0.601981249196967	0.716119278128867	1	26	5	4	0.0328240093453568
3380__WILDTYPE_SNP_INDIV	0.599877868481826	0.438624628580925	0.573301595039414	1	22	5	4	-0.12852912786591
1377__WILDTYPE_SNP_INDIV	4.85052199492839	0.027637767117709	0.0671122656635578	1	26	5	4	-0.251642741363284
1327__WILDTYPE_SNP_INDIV	117.094115807769	2.73763441135624e-27	6.26527189570384e-25	1	26	5	4	1.12364971559133
328__WILDTYPE_SNP_INDIV	0.52884624233775	0.467092327401883	0.598917248116325	1	26	5	4	0.0657861275160364
2617__WILDTYPE_SNP_INDIV	4.45803075723916	0.0347375221202477	0.0809251242413527	1	23	5	4	-0.357843669605533
3045__WILDTYPE_SNP_INDIV	0.00477723041626632	0.944896082083475	0.963541389877611	1	26	5	4	0.00658609708935212
4654__WILDTYPE_SNP_INDIV	15.2744689991138	9.296457287889e-05	0.000577962553096167	1	8	5	4	-2.52588150435411
4113__WILDTYPE_SNP_INDIV	11.7619392498311	0.000604542088975707	0.00278831984608181	1	21	5	4	-0.816755894846821
4550__WILDTYPE_SNP_INDIV	10.1036178507816	0.00147978533109431	0.00594139373537114	1	25	5	4	-0.505282287877338
3395__WILDTYPE_SNP_INDIV	7.34095987256228	0.00674008398455972	0.0210368175650257	1	22	5	4	-0.432246538118831
1918__WILDTYPE_SNP_INDIV	0.186294855061533	0.666018436258149	0.766650842056229	1	26	5	4	0.0416405664377371
4641__WILDTYPE_SNP_INDIV	10.8088115617479	0.00101018129122996	0.0042912295285603	1	26	5	4	0.331062003969719
1278__WILDTYPE_SNP_INDIV	3.49202678454776	0.0616650447089784	0.127303352607968	1	26	5	4	0.121009258691805
3081__WILDTYPE_SNP_INDIV	51.0641579362866	8.93957842818456e-13	4.4753764506099e-11	1	21	5	4	-1.1116102103036
1730__WILDTYPE_SNP_INDIV	2.51820990073338	0.112538271864007	0.206671354443415	1	26	5	4	-0.132476934436568
3201__WILDTYPE_SNP_INDIV	11.6235500497642	0.000651219864171574	0.00298072634972246	1	26	5	4	-0.499766029929942
1053__WILDTYPE_SNP_INDIV	2.26872947726406	0.132008084063828	0.233075257902556	1	25	5	4	0.195876937402854
3697__WILDTYPE_SNP_INDIV	0.416700116284574	0.518588231616651	0.646184869367287	1	26	5	4	-0.059781206784152
2298__WILDTYPE_SNP_INDIV	21.3094960368121	3.90790847260583e-06	3.80961625138816e-05	1	26	5	4	0.396893785473247
3742__WILDTYPE_SNP_INDIV	5.73016005392901	0.0166759626900118	0.0443033038630164	1	25	5	4	-0.331875511970599
2743__WILDTYPE_SNP_INDIV	0.907147075563444	0.340872518388044	0.477062703370105	1	25	5	4	-0.135739207818812
3815__WILDTYPE_SNP_INDIV	10.3372280951589	0.00130373651153529	0.00535992957608091	1	24	5	4	-0.615375997045124
4188__WILDTYPE_SNP_INDIV	0.0951412815648496	0.757740089960291	0.836595773681542	1	16	5	4	0.0672908816653979
486__WILDTYPE_SNP_INDIV	0.0661311379385552	0.797055452790543	0.866036911343639	1	26	5	4	0.0256768683563947
2756__WILDTYPE_SNP_INDIV	16.4546354981856	4.98281938592504e-05	0.000342595564646005	1	22	5	4	0.862135474786073
4659__WILDTYPE_SNP_INDIV	5.34568908132997	0.0207735711292628	0.0533606535794959	1	26	5	4	-0.191069375406819
4075__WILDTYPE_SNP_INDIV	0.0809783858562696	0.775975885262904	0.849507996485994	1	26	5	4	0.0309732540572098
2266__WILDTYPE_SNP_INDIV	9.10023121803033	0.00255577184350246	0.00934782304404325	1	24	5	4	-0.484563354187503
1433__WILDTYPE_SNP_INDIV	7.70699608599307	0.00550072122291236	0.0177903541031742	1	26	5	4	0.268973365787854
17__WILDTYPE_SNP_INDIV	0.770289022111683	0.380127655875138	0.51768022503143	1	26	5	4	0.0996948588550481
305__WILDTYPE_SNP_INDIV	6.07978917765286	0.0136737087953993	0.037594876699479	1	26	5	4	-0.164831197984849
3971__WILDTYPE_SNP_INDIV	5.77999705983984	0.0162095685240286	0.0433036055177774	1	24	5	4	0.30585465805396
890__WILDTYPE_SNP_INDIV	5.05664506810899	0.0245316829290333	0.0607728186375949	1	26	5	4	0.190278043184216
569__WILDTYPE_SNP_INDIV	12.9006548486418	0.000328467190673665	0.00168116434332016	1	26	5	4	0.304433738599982
4090__WILDTYPE_SNP_INDIV	3.21180737825409	0.0731086842688704	0.146889772824495	1	19	5	4	0.343148071490235
1548__WILDTYPE_SNP_INDIV	16.6952445426364	4.38908819942193e-05	0.000306153234926296	1	26	5	4	0.414976739697325
786__WILDTYPE_SNP_INDIV	2.71402490363971	0.0994697369838074	0.186996764552827	1	26	5	4	0.197531974888395
1684__WILDTYPE_SNP_INDIV	3.71199904892114	0.0540226536765185	0.115495050520172	1	25	5	4	0.283158592450724
3623__WILDTYPE_SNP_INDIV	6.09620994163834	0.0135472131629659	0.0373111211812116	1	25	5	4	0.372100308279549
1228__WILDTYPE_SNP_INDIV	6.31377068996835	0.0119803779145491	0.0337897278505418	1	26	5	4	-0.196142706549988
2751__WILDTYPE_SNP_INDIV	1.47613209979454	0.224380673116689	0.348311858849744	1	25	5	4	-0.204109627217666
3184__WILDTYPE_SNP_INDIV	3.63239880179754	0.0566650878069837	0.119970225550821	1	26	5	4	0.218365497087742
3682__WILDTYPE_SNP_INDIV	0.523614022575885	0.469304101160939	0.601209184841042	1	24	5	4	0.104025794497149
3704__WILDTYPE_SNP_INDIV	6.79789228357151	0.00912655510449672	0.0271269790347583	1	19	5	4	0.439791638522329
424__WILDTYPE_SNP_INDIV	0.888250063811483	0.345951964925965	0.483046235744971	1	26	5	4	-0.104219738106532
4507__WILDTYPE_SNP_INDIV	14.7070157561052	0.000125578232064886	0.000737795598331097	1	26	5	4	-0.488548388640762
1644__WILDTYPE_SNP_INDIV	22.6511120107339	1.94247766690255e-06	2.08727761253395e-05	1	23	5	4	0.483469833097134
3775__WILDTYPE_SNP_INDIV	0.0385906784314329	0.844261796962755	0.901471272206843	1	18	5	4	-0.0467140334723415
4504__WILDTYPE_SNP_INDIV	6.8084799439639	0.00907259640335208	0.0270321750244948	1	26	5	4	0.254962935493772
1624__WILDTYPE_SNP_INDIV	6.12857615813027	0.0133013951250797	0.0368240236008831	1	26	5	4	0.237915717289491
4493__WILDTYPE_SNP_INDIV	3.62875300692804	0.0567893517416851	0.120036685961015	1	26	5	4	-0.127594806299769
4165__WILDTYPE_SNP_INDIV	9.38386075488609	0.00218904047623828	0.00827085576163615	1	22	5	4	0.555870373602407
2230__WILDTYPE_SNP_INDIV	6.77817926430544	0.00922789729833653	0.0273299952561714	1	26	5	4	0.311618967012978
2880__WILDTYPE_SNP_INDIV	0.0628814018928097	0.801998398183782	0.869872331679363	1	26	5	4	0.0253822938521196
2567__WILDTYPE_SNP_INDIV	20.2120901135272	6.93134814684224e-06	6.26166526197816e-05	1	26	5	4	0.520505023728445
140__WILDTYPE_SNP_INDIV	0.655010343556569	0.418327026183556	0.552177887349127	1	26	5	4	-0.0724108396181862
4390__WILDTYPE_SNP_INDIV	3.00284520857088	0.083118430179966	0.162517158439754	1	13	5	4	0.617907626943017
717__WILDTYPE_SNP_INDIV	0.289754597745286	0.590377832717635	0.708536879595576	1	26	5	4	0.0594439737852461
2570__WILDTYPE_SNP_INDIV	0.0786800697512717	0.779094171933656	0.851340024425365	1	23	5	4	-0.0457768384019898
986__WILDTYPE_SNP_INDIV	0.0082115799082203	0.927796313061507	0.952368449503119	1	26	5	4	-0.0100808255803701
3309__WILDTYPE_SNP_INDIV	9.93590097945844	0.00162086080079071	0.00638512869557389	1	26	5	4	-0.376475758818624
880__WILDTYPE_SNP_INDIV	28.8689798121604	7.74432936883234e-08	1.28342230850373e-06	1	26	5	4	0.537409552110747
3481__WILDTYPE_SNP_INDIV	0.0203842007213098	0.886469264561072	0.927934394809268	1	24	5	4	-0.0266164516340601
1283__WILDTYPE_SNP_INDIV	9.67122683546495	0.00187176280507251	0.00724290824571538	1	26	5	4	0.275843620063969
3287__WILDTYPE_SNP_INDIV	0.00446434409013818	0.946728386874611	0.964386737456418	1	25	5	4	0.00632061218477151
1783__WILDTYPE_SNP_INDIV	21.2397716080345	4.05267233207187e-06	3.90323511581912e-05	1	26	5	4	-0.504579259237187
1563__WILDTYPE_SNP_INDIV	0.977915689295514	0.322713931196	0.459272476555516	1	26	5	4	0.110830134846798
434__WILDTYPE_SNP_INDIV	2.80041053778041	0.0942401738355415	0.179231608806337	1	26	5	4	0.154031817742176
998__WILDTYPE_SNP_INDIV	20.6101032521451	5.62982250444536e-06	5.25377222453678e-05	1	26	5	4	-0.431208461521897
2628__WILDTYPE_SNP_INDIV	8.4730510669051	0.0036044635144998	0.0125347696459378	1	26	5	4	-0.261832020403522
1979__WILDTYPE_SNP_INDIV	0.15671887533108	0.692195511865132	0.78682394276817	1	26	5	4	-0.0352932396866644
3744__WILDTYPE_SNP_INDIV	4.81269699594759	0.0282507980517728	0.0683894570515002	1	11	5	4	0.763422721042452
1520__WILDTYPE_SNP_INDIV	17.5868043621981	2.7448639707325e-05	0.000205160439243241	1	26	5	4	0.44777439426153
4471__WILDTYPE_SNP_INDIV	9.81984878379353	0.00172638535491122	0.00676202772265959	1	26	5	4	0.255642821415942
2419__WILDTYPE_SNP_INDIV	0.030687995064909	0.860938282739232	0.9113809222125	1	26	5	4	-0.019851844992899
88__WILDTYPE_SNP_INDIV	8.17372406862523	0.00425015554331662	0.0143342088008278	1	26	5	4	-0.309322606923237
124__WILDTYPE_SNP_INDIV	34.2919595986682	4.7433741113567e-09	1.08041023598011e-07	1	26	5	4	0.54888830226744
2493__WILDTYPE_SNP_INDIV	28.1169136658755	1.14203423061037e-07	1.79954639747982e-06	1	26	5	4	0.455869479379636
1704__WILDTYPE_SNP_INDIV	1.96483518919831	0.160997146335464	0.271682684441095	1	26	5	4	-0.169291660867055
3739__WILDTYPE_SNP_INDIV	0.973454949065854	0.323820033499321	0.460573862384652	1	26	5	4	-0.124827160810238
3174__WILDTYPE_SNP_INDIV	0.659731251717403	0.416654837552262	0.551095240455208	1	25	5	4	0.10220119988069
306__WILDTYPE_SNP_INDIV	4.2362460625759	0.039569567481855	0.0898730346492417	1	26	5	4	-0.273889032370984
2070__WILDTYPE_SNP_INDIV	0.543310915056736	0.461063805737948	0.593491045781865	1	26	5	4	-0.0795097038374224
1076__WILDTYPE_SNP_INDIV	31.8128664041815	1.69764426134658e-08	3.39953263334654e-07	1	26	5	4	-0.355621839836646
3179__WILDTYPE_SNP_INDIV	4.75624830219749	0.0291921114044574	0.0700439738434703	1	26	5	4	-0.327346864787842
481__WILDTYPE_SNP_INDIV	8.88141684549464	0.00288087884744219	0.0103479101201847	1	26	5	4	-0.306558554351091
4526__WILDTYPE_SNP_INDIV	16.3225185868087	5.34252982844318e-05	0.000363171122425713	1	22	5	4	0.535554857623204
3645__WILDTYPE_SNP_INDIV	3.0011569084902	0.0832050820750296	0.162554318883168	1	25	5	4	-0.263289995647776
2635__WILDTYPE_SNP_INDIV	0.145656431792759	0.702721274337087	0.794466818269593	1	26	5	4	-0.0484624048379889
2071__WILDTYPE_SNP_INDIV	4.05811820972099	0.0439594609662363	0.0980367375423348	1	22	5	4	-0.295040822157533
3909__WILDTYPE_SNP_INDIV	1.00331907003465	0.316508720676422	0.45258581123799	1	25	5	4	-0.142376933385067
2586__WILDTYPE_SNP_INDIV	28.4214315996742	9.75790904714943e-08	1.57900710035691e-06	1	26	5	4	-0.57659710932245
1077__WILDTYPE_SNP_INDIV	27.105409093776	1.92658120033831e-07	2.83154411279081e-06	1	26	5	4	-0.432412839280387
3221__WILDTYPE_SNP_INDIV	1.83562498481569	0.175464592616607	0.288993431156755	1	26	5	4	-0.108110182495296
1992__WILDTYPE_SNP_INDIV	0.692470762783159	0.405325252038832	0.541560511898423	1	25	5	4	0.0856218216703223
1133__WILDTYPE_SNP_INDIV	0.961504421542486	0.326808130716427	0.463178966742303	1	25	5	4	0.139380689237452
3095__WILDTYPE_SNP_INDIV	8.54473683278229	0.00346522695929014	0.0121207283597878	1	26	5	4	-0.203495977605103
3046__WILDTYPE_SNP_INDIV	0.893294506936854	0.344586086604321	0.481418817505921	1	24	5	4	0.191581991020711
129__WILDTYPE_SNP_INDIV	19.5688927029464	9.70363574520882e-06	8.40282403449974e-05	1	26	5	4	-0.349244704460948
2045__WILDTYPE_SNP_INDIV	0.462441271918578	0.496485246244868	0.626768608734656	1	25	5	4	-0.0853395771292168
2781__WILDTYPE_SNP_INDIV	16.0067158446532	6.31181882690493e-05	0.00042267763473523	1	24	5	4	-0.6672243083203
51__WILDTYPE_SNP_INDIV	0.323169465288288	0.569709109273357	0.692408995351472	1	19	5	4	-0.0791523415677659
3210__WILDTYPE_SNP_INDIV	6.79559990938469	0.00913828111886678	0.0271269790347583	1	26	5	4	-0.386283027917569
4355__WILDTYPE_SNP_INDIV	9.24530515206061	0.00236099949418539	0.00876213403015828	1	17	5	4	0.714641582573582
1184__WILDTYPE_SNP_INDIV	19.0219432629037	1.29223831210623e-05	0.000109147580456635	1	26	5	4	-0.300518956270572
411__WILDTYPE_SNP_INDIV	0.124058459603248	0.72467377802333	0.811270015648759	1	26	5	4	0.0462735357171411
3791__WILDTYPE_SNP_INDIV	2.79971581208179	0.0942810164492329	0.17923835642999	1	26	5	4	0.16630604367361
1620__WILDTYPE_SNP_INDIV	1.43996997535851	0.230144199144116	0.355650489095377	1	26	5	4	0.108043309470098
1900__WILDTYPE_SNP_INDIV	0.000175256433522009	0.989437557422899	0.99265545313033	1	26	5	4	-0.00156251134076103
1630__WILDTYPE_SNP_INDIV	3.14305961231639	0.0762506445940961	0.151869290476264	1	26	5	4	-0.176088689213092
670__WILDTYPE_SNP_INDIV	464.077639791226	6.23067125196563e-103	1.49723030184734e-99	1	26	5	4	2.42345836204856
2791__WILDTYPE_SNP_INDIV	0.713793005586467	0.398187494450612	0.534699384836447	1	26	5	4	0.11252787065672
1188__WILDTYPE_SNP_INDIV	1.05599000543543	0.304131556827185	0.439595868304196	1	26	5	4	-0.102516282099319
2687__WILDTYPE_SNP_INDIV	19.7319491285007	8.90992763767951e-06	7.79983829265714e-05	1	25	5	4	-0.55162024696475
2921__WILDTYPE_SNP_INDIV	6.4734877010892	0.010949544373086	0.0313048841505361	1	26	5	4	-0.226887714033184
13__WILDTYPE_SNP_INDIV	5.19321033085407	0.0226752919076198	0.0572360571995906	1	26	5	4	-0.232697516859866
284__WILDTYPE_SNP_INDIV	8.82982452037959	0.00296346881338101	0.0106128398786208	1	24	5	4	0.259333181038451
1677__WILDTYPE_SNP_INDIV	9.26426736696203	0.00233667932080469	0.00870548900448632	1	26	5	4	-0.415826300921999
1177__WILDTYPE_SNP_INDIV	0.131214489515514	0.717176123233829	0.805344522451344	1	26	5	4	0.0447431480857109
2700__WILDTYPE_SNP_INDIV	65.187865807824	6.80874872477614e-16	6.05978636505076e-14	1	26	5	4	0.877027832820926
266__WILDTYPE_SNP_INDIV	0.871436890591895	0.350557823538964	0.487212521668092	1	23	5	4	0.126192325207033
4413__WILDTYPE_SNP_INDIV	0.508579485499013	0.47575443333249	0.606814173725039	1	26	5	4	-0.0664304201198426
866__WILDTYPE_SNP_INDIV	3.77731230014433	0.0519520474784949	0.11198865649503	1	26	5	4	-0.205426314614697
4451__WILDTYPE_SNP_INDIV	174.731009228517	6.85405523255174e-40	2.35289924626026e-37	1	26	5	4	-1.93064053014059
940__WILDTYPE_SNP_INDIV	6.80405334148963	0.00909511618662013	0.0270707377831678	1	26	5	4	0.274154902390489
80__WILDTYPE_SNP_INDIV	22.2757880045401	2.36165671921611e-06	2.45143027916903e-05	1	26	5	4	-0.511719087046394
1789__WILDTYPE_SNP_INDIV	0.0538318919352605	0.816524803854603	0.879869553211933	1	26	5	4	0.0219007429399424
2922__WILDTYPE_SNP_INDIV	7.38531787609736	0.00657584468599705	0.0205886055771347	1	26	5	4	-0.270275235460613
139__WILDTYPE_SNP_INDIV	0.812623899882965	0.367345629298573	0.504850756193578	1	26	5	4	0.0692973530673627
2502__WILDTYPE_SNP_INDIV	3.28206258860928	0.0700408543962805	0.14173319841201	1	24	5	4	-0.296544071123164
394__WILDTYPE_SNP_INDIV	4.05425002681704	0.0440602861820299	0.0981704846503642	1	25	5	4	0.221587737600474
359__WILDTYPE_SNP_INDIV	1.7010022870511	0.192156951980001	0.309486029227844	1	23	5	4	-0.210003597528103
408__WILDTYPE_SNP_INDIV	4.80667424736748	0.0283497072646234	0.0685355599163884	1	24	5	4	0.328521198343458
1248__WILDTYPE_SNP_INDIV	3.85863368029959	0.0494906155712315	0.107967271191711	1	26	5	4	0.161355326711104
154__WILDTYPE_SNP_INDIV	0.441081398989809	0.506600971440971	0.635090161049101	1	23	5	4	0.128684257433539
298__WILDTYPE_SNP_INDIV	8.61233715779417	0.00333893580542318	0.0117387896714439	1	26	5	4	-0.2695702750797
4304__WILDTYPE_SNP_INDIV	23.0691771583251	1.56275958502386e-06	1.7305581948444e-05	1	26	5	4	0.513022975740979
350__WILDTYPE_SNP_INDIV	9.25682706661587	0.00234619150482268	0.0087332913712503	1	23	5	4	0.447058021500901
4692__WILDTYPE_SNP_INDIV	15.6481195854509	7.62883988664926e-05	0.000494126745218819	1	16	5	4	-0.854403939966598
2059__WILDTYPE_SNP_INDIV	12.3090287310445	0.000450772477758735	0.00219494683698934	1	25	5	4	0.464214999278764
1415__WILDTYPE_SNP_INDIV	9.74331264102375	0.0017997626334749	0.00699810616220095	1	22	5	4	-0.469772455264943
1100__WILDTYPE_SNP_INDIV	0.0841323735935475	0.771773540776256	0.845870840814295	1	24	5	4	0.0423729747364705
953__WILDTYPE_SNP_INDIV	29.4637778437959	5.69715805373017e-08	9.77876485936686e-07	1	26	5	4	-0.56431945597614
3206__WILDTYPE_SNP_INDIV	4.12435342006165	0.0422701707527129	0.0950189151719075	1	26	5	4	-0.291873013150581
3694__WILDTYPE_SNP_INDIV	9.90244547668271	0.00165059286274702	0.00649161153712126	1	24	5	4	-0.450217461779518
1009__WILDTYPE_SNP_INDIV	0.232256047954706	0.629856025331584	0.737938200742772	1	24	5	4	0.0595965735769888
666__WILDTYPE_SNP_INDIV	6.91422260938498	0.00855128101630204	0.0257019740865213	1	26	5	4	-0.320594749066341
2019__WILDTYPE_SNP_INDIV	4.99905018466632	0.0253612326708497	0.0622502983739039	1	20	5	4	-0.378067549118474
1245__WILDTYPE_SNP_INDIV	6.30294690434584	0.0120537429420699	0.0339567928368042	1	26	5	4	-0.291888191624082
1168__WILDTYPE_SNP_INDIV	2.39064463470686	0.122063285153971	0.21963165423062	1	26	5	4	-0.12868729357835
3862__WILDTYPE_SNP_INDIV	12.8554099308128	0.000336504982932048	0.00171864287775922	1	24	5	4	-0.414615631032144
385__WILDTYPE_SNP_INDIV	0.000115387280857249	0.991429410803024	0.99328950350622	1	25	5	4	-0.00122452173905059
1960__WILDTYPE_SNP_INDIV	5.90427915986925	0.015104145504024	0.0408730423943352	1	25	5	4	0.365229273583159
2711__WILDTYPE_SNP_INDIV	0.71429101307524	0.398022969482151	0.534627834357523	1	21	5	4	-0.118513241259507
3341__WILDTYPE_SNP_INDIV	8.88919094897005	0.00286863817268344	0.0103270974216604	1	11	5	4	-0.560105025242849
686__WILDTYPE_SNP_INDIV	0.72086418517938	0.395860586991192	0.533363044877956	1	23	5	4	0.161989998131428
